Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumMECs,BiggestMEC,SmallestMEC,NumSCCs
RND_40000_1, 40000, 115434, 26483, 13060, 457, 10, 2, 0.5, 0, -, -, 457
RND_40000_10, 40000, 115696, 1, 12820, 27179, 10, 2, 0.5, 1, 24427, 24427, 1577
RND_40000_11, 40000, 116178, 26392, 13101, 507, 10, 2, 0.5, 0, -, -, 507
RND_40000_12, 40000, 115844, 26322, 13120, 558, 10, 2, 0.5, 0, -, -, 558
RND_40000_13, 40000, 115800, 26029, 13469, 502, 10, 2, 0.5, 0, -, -, 502
RND_40000_14, 40000, 115786, 26441, 12997, 562, 10, 2, 0.5, 0, -, -, 562
RND_40000_15, 40000, 115748, 1, 13138, 26861, 10, 2, 0.5, 1, 23952, 23952, 1646
RND_40000_16, 40000, 116100, 26825, 12625, 550, 10, 2, 0.5, 0, -, -, 550
RND_40000_17, 40000, 115871, 1, 12841, 27158, 10, 2, 0.5, 1, 24495, 24495, 1549
RND_40000_18, 40000, 115503, 1, 39999, 0, 10, 2, 0.5, 0, -, -, 0
RND_40000_19, 40000, 116170, 1, 13183, 26816, 10, 2, 0.5, 1, 23900, 23900, 1620
RND_40000_2, 40000, 115778, 26318, 13146, 536, 10, 2, 0.5, 0, , , 
RND_40000_20, 40000, 115535, 26151, 13387, 462, 10, 2, 0.5, 0, , , 
RND_40000_3, 40000, 115913, 26450, 13134, 416, 10, 2, 0.5, 0, , , 
RND_40000_4, 40000, 116107, 26406, 13062, 532, 10, 2, 0.5, 0, , , 
RND_40000_5, 40000, 115611, 26021, 13541, 438, 10, 2, 0.5, 0, , , 
RND_40000_6, 40000, 115729, 26421, 13116, 463, 10, 2, 0.5, 0, , , 
RND_40000_7, 40000, 115925, 1, 13264, 26735, 10, 2, 0.5, 1, 23748, 23748, 1783
RND_40000_8, 40000, 115981, 26373, 13230, 397, 10, 2, 0.5, 0, , , 
RND_40000_9, 40000, 115778, 26361, 13161, 478, 10, 2, 0.5, 0, , , 
