Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_40000_1,40000,2.333,1.916,2.145
RND_40000_10,40000,4.806,3.192,5.425
RND_40000_11,40000,2.359,1.735,1.796
RND_40000_12,40000,1.935,1.856,1.952
RND_40000_13,40000,1.821,1.887,2.476
RND_40000_14,40000,1.778,1.88,1.754
RND_40000_15,40000,6.838,2.986,3.946
RND_40000_16,40000,1.978,2.248,1.655
RND_40000_17,40000,2.18,3.745,2.14
RND_40000_18,40000,0.156,0.191,0.329
RND_40000_19,40000,8.173,3.513,5.112
RND_40000_2,40000,1.814,2.162,1.726
RND_40000_20,40000,2.066,2.075,1.491
RND_40000_3,40000,1.426,,1.728
RND_40000_4,40000,1.869,,2.376
RND_40000_5,40000,2.085,2.381,1.624
RND_40000_6,40000,1.509,2.031,1.715
RND_40000_7,40000,4.664,2.659,3.922
RND_40000_8,40000,,1.486,1.602
RND_40000_9,40000,1.737,1.812,2.226
