Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,0.13671875,0.13671875,0.13671875
RND_20000_10,20000,0.25,0.25,0.2499995231628418
RND_20000_2,20000,0.14194472941026579,0.14194472941042777,0.1419441270563766
RND_20000_3,20000,0.39697265625,0.39697265625,0.396728515625
RND_20000_4,20000,0.01675850739989046,0.016758510044642856,0.016757784094806993
RND_20000_5,20000,0.309591165180791,0.3095911839145107,0.3095904408110073
RND_20000_6,20000,0.5,0.5,0.5
RND_20000_7,20000,0.1673992272362003,0.16739922978889105,
RND_20000_8,20000,0.3125,0.3125,0.3125
RND_20000_9,20000,0.09223272939037946,0.09223273324627759,0.09223220062759273
