Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_40000_1,40000,2,13,2
RND_40000_10,40000,7,28,8
RND_40000_11,40000,1,13,1
RND_40000_12,40000,1,15,1
RND_40000_13,40000,1,11,1
RND_40000_14,40000,1,14,1
RND_40000_15,40000,14,33,6
RND_40000_16,40000,1,11,1
RND_40000_17,40000,1,28,1
RND_40000_18,40000,1,2,1
RND_40000_19,40000,13,32,7
RND_40000_2,40000,1,10,1
RND_40000_20,40000,1,14,1
RND_40000_3,40000,1,,1
RND_40000_4,40000,1,,1
RND_40000_5,40000,1,13,1
RND_40000_6,40000,1,9,1
RND_40000_7,40000,9,32,6
RND_40000_8,,,9,1
RND_40000_9,40000,1,11,1
