Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumMECs,BiggestMEC,SmallestMEC,NumSCCs
RND_40000_1, 40000, 115970, 31816, 7816, 368, 10, 2, 0.5, 0, -, -, 368
RND_40000_10, 40000, 115806, 32065, 7607, 328, 10, 2, 0.5, 0, -, -, 328
RND_40000_2, 40000, 116039, 32189, 7476, 335, 10, 2, 0.5, 0, -, -, 335
RND_40000_3, 40000, 115870, 32012, 7662, 326, 10, 2, 0.5, 0, -, -, 326
RND_40000_4, 40000, 116003, 32320, 7264, 416, 10, 2, 0.5, 0, -, -, 416
RND_40000_5, 40000, 115629, 31936, 7646, 418, 10, 2, 0.5, 0, -, -, 418
RND_40000_6, 40000, 115861, 32035, 7622, 343, 10, 2, 0.5, 0, -, -, 343
RND_40000_7, 40000, 115991, 32174, 7564, 262, 10, 2, 0.5, 0, -, -, 262
RND_40000_8, 40000, 115409, 31901, 7783, 316, 10, 2, 0.5, 0, -, -, 316
RND_40000_9, 40000, 115584, 31955, 7765, 280, 10, 2, 0.5, 0, -, -, 280
