Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumMECs,BiggestMEC,SmallestMEC,NumSCCs
RND_20000_1, 20000, 57835, 1, 19999, 0, 10, 2, 0.5, 0, -, -, 0
RND_20000_10, 20000, 57648, 15256, 4554, 190, 10, 2, 0.5, 0, -, -, 190
RND_20000_2, 20000, 57941, 15272, 4466, 262, 10, 2, 0.5, 0, -, -, 262
RND_20000_3, 20000, 58039, 1, 19999, 0, 10, 2, 0.5, 0, -, -, 0
RND_20000_4, 20000, 57985, 15233, 4563, 204, 10, 2, 0.5, 0, -, -, 204
RND_20000_5, 20000, 57618, 15184, 4591, 225, 10, 2, 0.5, 0, -, -, 225
RND_20000_6, 20000, 57994, 15063, 4670, 267, 10, 2, 0.5, 0, -, -, 266
RND_20000_7, 20000, 57945, 14988, 4768, 244, 10, 2, 0.5, 0, -, -, 244
RND_20000_8, 20000, 57977, 15165, 4506, 329, 10, 2, 0.5, 0, -, -, 329
RND_20000_9, 20000, 57736, 14890, 4853, 257, 10, 2, 0.5, 0, -, -, 257
