Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumMECs,BiggestMEC,SmallestMEC,NumSCCs
RND_20000_1, 20000, 34845, 1, 12723, 7276, 3, 2, 0.5, 0, -, -, 1022
RND_20000_10, 20000, 34823, 1, 12534, 7465, 3, 2, 0.5, 0, -, -, 893
RND_20000_2, 20000, 34757, 1, 12310, 7689, 3, 2, 0.5, 1, 6, 6, 931
RND_20000_3, 20000, 34796, 1, 12690, 7309, 3, 2, 0.5, 2, 39, 9, 839
RND_20000_4, 20000, 34791, 9, 12470, 7521, 3, 2, 0.5, 2, 17, 11, 778
RND_20000_5, 20000, 34846, 24, 12399, 7577, 3, 2, 0.5, 3, 34, 9, 917
RND_20000_6, 20000, 34791, 2, 12551, 7447, 3, 2, 0.5, 1, 2, 2, 925
RND_20000_7, 20000, 34812, 1, 12452, 7547, 3, 2, 0.5, 5, 58, 2, 1000
RND_20000_8, 20000, 34900, 44, 12553, 7403, 3, 2, 0.5, 1, 3, 3, 909
RND_20000_9, 20000, 34921, 1, 12488, 7511, 3, 2, 0.5, 0, -, -, 947
