Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumMECs,BiggestMEC,SmallestMEC,NumSCCs
RND_20000_1, 20000, 41134, 1, 9386, 10613, 5, 2, 0.5, 1, 7864, 7864, 746
RND_20000_10, 20000, 41287, 1, 9518, 10481, 5, 2, 0.5, 1, 7521, 7521, 717
RND_20000_2, 20000, 41245, 9368, 9289, 1343, 5, 2, 0.5, 0, -, -, 1337
RND_20000_3, 20000, 41232, 9292, 9489, 1219, 5, 2, 0.5, 0, -, -, 1212
RND_20000_4, 20000, 41094, 1, 9914, 10085, 5, 2, 0.5, 1, 6987, 6987, 715
RND_20000_5, 20000, 41209, 8954, 9565, 1481, 5, 2, 0.5, 0, -, -, 1477
RND_20000_6, 20000, 41275, 1, 9566, 10433, 5, 2, 0.5, 2, 7401, 3, 770
RND_20000_7, 20000, 41297, 9220, 9523, 1257, 5, 2, 0.5, 0, -, -, 1256
RND_20000_8, 20000, 41246, 9020, 9532, 1448, 5, 2, 0.5, 1, 3, 3, 1446
RND_20000_9, 20000, 41186, 9095, 9619, 1286, 5, 2, 0.5, 0, -, -, 1286
