Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
simple, 3, 3, 1, 1, 1, 1, 2, 0.5, 1, 1.0, 1.3333334, 1.3333334, 2, 1, 0.0, 0, , , , , 1, 1, 1, 1.0, 1, 1, 1.0, 1.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_100, 104, 104, 1, 2, 101, 1, 2, 0.0050000000000000044, 101, 1.0, 1.9711539, 1.9711539, 53, 51, 0.004878049, 0, , , , , 101, 1, 1, 1.0, 101, 101, 101.0, 101.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_1000, 1004, 1004, 1, 2, 1001, 1, 2, 0.0050000000000000044, 1001, 1.0, 1.9970119, 1.9970119, 481, 523, 4.987531E-4, 0, , , , , 1001, 1, 1, 1.0, 1001, 1001, 1001.0, 1001.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_10000, 10004, 10004, 1, 2, 10001, 1, 2, 0.0050000000000000044, 10001, 1.0, 1.9997001, 1.9997001, 5019, 4985, 4.9987502E-5, 0, , , , , 10001, 1, 1, 1.0, 10001, 10001, 10001.0, 10001.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_200, 204, 204, 1, 2, 201, 1, 2, 0.0050000000000000044, 201, 1.0, 1.9852941, 1.9852941, 102, 102, 0.002469136, 0, , , , , 201, 1, 1, 1.0, 201, 201, 201.0, 201.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_2000, 2004, 2004, 1, 2, 2001, 1, 2, 0.0050000000000000044, 2001, 1.0, 1.998503, 1.998503, 967, 1037, 2.496879E-4, 0, , , , , 2001, 1, 1, 1.0, 2001, 2001, 2001.0, 2001.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_20000, 20004, 20004, 1, 2, 20001, 1, 2, 0.0050000000000000044, 20001, 1.0, 1.99985, 1.99985, 10036, 9968, 2.4996876E-5, 0, , , , , 20001, 1, 1, 1.0, 20001, 20001, 20001.0, 20001.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_500, 504, 504, 1, 2, 501, 1, 2, 0.0050000000000000044, 501, 1.0, 1.9940476, 1.9940476, 255, 249, 9.950249E-4, 0, , , , , 501, 1, 1, 1.0, 501, 501, 501.0, 501.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_5000, 5004, 5004, 1, 2, 5001, 1, 2, 0.0050000000000000044, 5001, 1.0, 1.9994005, 1.9994005, 2479, 2525, 9.9950026E-5, 0, , , , , 5001, 1, 1, 1.0, 5001, 5001, 5001.0, 5001.0
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_50000, 50004, 50004, 1, 2, 50001, 1, 2, 0.0050000000000000044, 50001, 1.0, 1.99994, 1.99994, 25111, 24893, 9.9995E-6, 0, , , , , 50001, 1, 1, 1.0, 50001, 50001, 50001.0, 50001.0
