Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
simple,3,1,1,1,1,1,1,3,1,,3,3,,,1,1,1,1,1,1,,1,,,2,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_100,1\n3,30957,100,10390,30957,10391,100,102,10390,,289748,289748,,,10391,101,101,101,101,101,,101,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_1000,1\n3,231438,1000,167878,231438,167879,1000,1002,167878,,2448035,2448035,,,167879,1001,1001,1001,1001,1001,,1001,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_10000,1\n3,,10000,,,,10000,10002,,,,,,,,10001,10001,10001,10001,10001,,10001,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_200,1\n3,54875,200,26036,54875,26037,200,202,26036,,517586,517586,,,26037,201,201,201,201,201,,201,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_2000,1\n3,443856,2000,354650,443856,354651,2000,2002,354650,,4732928,4732928,,,354651,2001,2001,2001,2001,2001,,2001,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_20000,1\n3,,20000,,,,20000,20002,,,,,,,,20001,20001,20001,20001,20001,,20001,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_500,1\n3,122659,500,77425,122659,77426,500,502,77425,,1284458,1284458,,,77426,501,501,501,501,501,,501,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_5000,1\n3,,5000,929155,1068498,929156,5000,5002,929155,,,,,,929156,5001,5001,5001,5001,5001,,5001,,,10001,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_50000,1\n3,,,,,,,,,,,,,,,,,,50001,,,,,,10001,
