Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
simple,3,0.116,0.051,0.058,0.059,0.055,0.047,0.056,0.057,0.04,0.071,0.058,0.037,0.037,0.061,0.055,0.065,0.063,0.062,0.055,0.029,0.051,0.038,,0.049,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_100,1\n3,0.914,0.27,0.495,1.003,0.5,0.135,0.137,0.499,,3.066,3.052,0.113,0.21,0.483,0.129,0.127,0.132,0.121,0.12,0.094,0.118,0.092,,0.319,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_1000,1\n3,37.032,1.274,27.25,36.89,26.821,0.94,0.827,26.716,,222.695,233.947,1.009,6.574,27.064,0.674,0.73,0.836,0.557,0.765,0.74,0.713,0.737,,1.875,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_10000,1\n3,,58.421,,,,37.745,29.681,,,,,,,,36.23,22.149,29.816,14.544,29.239,23.43,22.084,21.113,,24.301,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_200,1\n3,2.172,0.22,1.425,2.252,1.851,0.222,0.212,1.847,,7.997,8.859,0.26,0.346,1.428,0.206,0.199,0.211,0.184,0.194,0.174,0.196,0.169,,0.397,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_2000,1\n3,145.331,2.637,114.641,143.766,147.464,3.105,2.047,132.18,,819.784,845.015,2.322,46.335,114.385,1.689,1.719,1.658,1.181,1.587,1.873,1.709,1.97,,3.021,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_20000,1\n3,,253.276,,,,291.839,217.858,,,,,,,,160.579,164.411,165.013,139.63,149.195,149.576,145.249,119.27,,158.278,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_500,1\n3,9.884,0.468,6.576,9.356,6.613,0.458,0.47,6.932,,55.701,54.889,0.427,1.192,6.491,0.363,0.467,0.407,0.325,0.387,0.323,0.346,0.298,,0.91,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_5000,1\n3,,9.564,844.013,873.704,847.762,9.523,8.403,782.385,,,,7.954,420.104,853.875,6.125,6.585,6.364,4.122,5.987,6.406,6.334,6.391,,8.222,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_50000,1\n3,,,,,,,,,,,,,,,,,,744.735,,,,831.487,,790.53,
