Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
simple,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,0.5,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_100,1\n3,0.4999995001683654,0.5,0.4999999999999964,0.4999995001683654,0.4999999999999964,0.5,0.5,0.4999999999999964,,0.4999996119517606,0.4999996119517606,0.5,0.5,0.4999999999999964,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,1.411113011947694E-10,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_1000,1\n3,0.4999995002851443,0.5,0.5000000000000311,0.4999995002851443,0.5000000000000311,0.5,0.5,0.5000000000000311,,0.49999980634773333,0.49999980634773333,0.5,0.5,0.5000000000000311,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,0.0,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_10000,1\n3,,0.5,,,,0.5,0.5,,,,,,,,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,0.0,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_200,1\n3,0.49999950021188694,0.5,0.5000000000000021,0.49999950021188694,0.5000000000000021,0.5,0.5,0.5000000000000021,,0.49999960963780327,0.49999960963780327,0.5,0.5,0.5000000000000021,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,3.266250964575588E-58,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_2000,1\n3,0.4999995002460808,0.5,0.5000000000000584,0.4999995002460808,0.5000000000000584,0.5,0.5,0.5000000000000584,,0.49999970305494706,0.49999970305494706,0.5,0.5,0.5000000000000584,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,0.0,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_20000,1\n3,,0.5,,,,0.5,0.5,,,,,,,,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,0.0,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_500,1\n3,0.49999950005474786,0.5,0.5000000000000149,0.49999950005474786,0.5000000000000149,0.5,0.5,0.5000000000000149,,0.49999991004848077,0.49999991004848077,0.5,0.5,0.5000000000000149,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,8.91161711211E-312,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_5000,1\n3,,0.5,0.5000000000001309,0.49999950006730803,0.5000000000001309,0.5,0.5,0.5000000000001309,,,,0.5,0.5,0.5000000000001309,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,0.0,
simple_actionTree_sinkP_0_initP_99_branch_1_numStates_1_numComp_50000,1\n3,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,0.0,
