Conf, Case Study, Verification Time, Number Of Verif. Phases, Iterations in Verif Phase
G_OVI, BigMec_1e1, 0, 1, 1
G_OVI, BigMec_1e2, 0, 1, 1
G_OVI, BigMec_1e3, 2, 1, 1
G_OVI, BigMec_1e4, 175, 1, 1
G_OVI, ManyMECs_1e1, 0, 2, 6
G_OVI, ManyMECs_1e2, 1, 3, 103
G_OVI, ManyMECs_1e3, 87, 4, 1406
G_OVI, hm_10, 0, 11, 1
G_OVI, hm_20, 51, 21, 1
G_OVI, hm_25, -, 14, -
G_OVI, hm_5, 0, 6, 1
OPT_OVI, BigMec_1e1, 0, 1, 1
OPT_OVI, BigMec_1e2, 0, 1, 1
OPT_OVI, BigMec_1e3, 1, 1, 1
OPT_OVI, BigMec_1e4, 136, 1, 1
OPT_OVI, ManyMECs_1e1, 0, 2, 18
OPT_OVI, ManyMECs_1e2, 1, 3, 149
OPT_OVI, ManyMECs_1e3, 87, 4, 1477
OPT_OVI, hm_10, 0, 12, 11
OPT_OVI, hm_20, 89, 22, 21
OPT_OVI, hm_25, -, 11, -
OPT_OVI, hm_5, 0, 7, 6
OVI, BigMec_1e1, 0, 1, 1
OVI, BigMec_1e2, 0, 1, 1
OVI, BigMec_1e3, 1, 1, 1
OVI, BigMec_1e4, 150, 1, 1
OVI, ManyMECs_1e1, 0, 2, 18
OVI, ManyMECs_1e2, 1, 3, 149
OVI, ManyMECs_1e3, 87, 4, 1477
OVI, hm_10, 0, 12, 11
OVI, hm_20, 97, 22, 21
OVI, hm_25, -, 10, -
OVI, hm_5, 0, 7, 6
TOP_OVI, BigMec_1e1, 0, 1, 1
TOP_OVI, BigMec_1e2, 0, 1, 1
TOP_OVI, BigMec_1e3, 33, 1, 1
TOP_OVI, BigMec_1e4, -, 1, 1
TOP_OVI, ManyMECs_1e1, 0, 11, 1
TOP_OVI, ManyMECs_1e2, 0, 101, 1
TOP_OVI, ManyMECs_1e3, 8, 1001, 1
TOP_OVI, hm_10, 0, 12, 11
TOP_OVI, hm_20, 91, 22, 21
TOP_OVI, hm_25, -, 11, -
TOP_OVI, hm_5, 0, 7, 6
T_OVI, BigMec_1e1, 0, 1, 1
T_OVI, BigMec_1e2, 0, 1, 1
T_OVI, BigMec_1e3, 0, 1, 1
T_OVI, BigMec_1e4, 115, 1, 1
T_OVI, ManyMECs_1e1, 0, 11, 1
T_OVI, ManyMECs_1e2, 0, 101, 1
T_OVI, ManyMECs_1e3, 3, 1001, 1
T_OVI, hm_10, 0, 12, 11
T_OVI, hm_20, 98, 22, 21
T_OVI, hm_25, -, 11, -
T_OVI, hm_5, 0, 7, 6
