Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
BigMec_1e1, 23, 44, 1, 1, 21, 2, 2, 0.4, 2, 1, 21, 21, 21.0, 21.0, 1, 21, 21, 21.0, 11, 11, 11.0, 11.0
BigMec_1e2, 203, 404, 1, 1, 201, 2, 2, 0.4, 2, 1, 201, 201, 201.0, 201.0, 1, 201, 201, 201.0, 101, 101, 101.0, 101.0
BigMec_1e3, 2003, 4004, 1, 1, 2001, 2, 2, 0.4, 2, 1, 2001, 2001, 2001.0, 2001.0, 1, 2001, 2001, 2001.0, 1001, 1001, 1001.0, 1001.0
BigMec_1e4, 20003, 40004, 1, 1, 20001, 2, 2, 0.4, 2, 1, 20001, 20001, 20001.0, 20001.0, 1, 20001, 20001, 20001.0, 10001, 10001, 10001.0, 10001.0
ManyMECs_1e1, 32, 62, 1, 1, 30, 2, 2, 0.4, 30, 10, 3, 3, 3.0, 3.0, 10, 3, 3, 3.0, 20, 20, 20.0, 20.0
ManyMECs_1e2, 302, 602, 1, 1, 300, 2, 2, 0.4, 300, 100, 3, 3, 3.0, 3.0, 100, 3, 3, 3.0, 200, 200, 200.0, 200.0
ManyMECs_1e3, 3002, 6002, 1, 1, 3000, 2, 2, 0.4, 3000, 1000, 3, 3, 3.0, 3.0, 1000, 3, 3, 3.0, 2000, 2000, 2000.0, 2000.0
hm_10, 21, 21, 1, 1, 19, 1, 2, 0.5, 19, 0, , , , , 1, 19, 19, 19.0, 10, 10, 10.0, 10.0
hm_20, 41, 41, 1, 1, 39, 1, 2, 0.5, 39, 0, , , , , 1, 39, 39, 39.0, 20, 20, 20.0, 20.0
hm_25, 51, 51, 1, 1, 49, 1, 2, 0.5, 49, 0, , , , , 1, 49, 49, 49.0, 25, 25, 25.0, 25.0
hm_5, 11, 11, 1, 1, 9, 1, 2, 0.5, 9, 0, , , , , 1, 9, 9, 9.0, 5, 5, 5.0, 5.0
