Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
BigMec_1e1,23,11,100,201,100,201,11,13,3,12,13,13,,12,3,11,13,3,12,11,,13,,3,12,
BigMec_1e2,203,101,101,201,101,201,101,103,3,21,103,103,,21,3,101,103,3,102,101,,103,,3,102,
BigMec_1e3,2003,1001,1001,201,1001,201,1001,1003,3,21,1003,1003,,21,3,1001,1003,3,1002,1001,,1003,,3,1002,
BigMec_1e4,20003,10001,10001,201,10001,201,10001,10003,3,21,10003,10003,E,T,3,T,T,T,T,10001,,10003,T,3,10001,
ManyMECs_1e1,32,130,5600,8600,5600,8600,66,149,90,21,225,225,,T,90,298,59,E,97,439,T,59,,T,129,
ManyMECs_1e2,302,702,25200,56500,25200,56500,352,1024,565,21,1418,1418,,T,565,2908,239,E,187,T,T,239,,T,691,
ManyMECs_1e3,3002,5590,179500,T,179500,T,2796,10414,3895,T,13269,13269,,T,3891,29008,2039,E,1087,T,T,2039,,T,5529,
hm_10,21,21088,10547,10019,21088,20030,10547,9694,10019,,19447,19447,,,20030,22147,19447,20030,9908,22147,,19447,,20030,9908,
hm_20,41,21729659,10864833,10319728,21729659,20639448,10864833,9948894,10319728,,19898077,19898077,E,,20639448,22819875,19898077,20639448,10001,22819875,,19898074,,20639448,10001,
hm_25,51,T,T,T,T,T,T,T,T,,T,T,E,,T,T,T,T,10001,T,,T,,T,10001,
hm_5,11,591,298,283,591,561,298,309,283,,643,643,,,561,622,643,561,434,622,,626,,561,434,
