Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
BigMec_1e1,23,0.052,0.123,0.18,0.029,0.172,0.029,0.051,0.071,0.121,0.031,0.024,0.055,0.057,0.081,0.133,0.123,0.147,0.053,0.042,0.064,0.018,0.074,0.045,0.012,0.007
BigMec_1e2,203,0.812,0.202,0.551,0.112,0.695,0.397,0.208,0.373,0.371,0.099,0.111,0.263,0.785,0.24,1.194,0.417,0.464,0.326,0.37,0.23,0.071,0.648,0.274,0.074,0.082
BigMec_1e3,2003,10.328,4.113,4.515,1.653,4.306,9.923,2.186,4.355,3.334,1.378,1.197,3.202,96.897,3.24,49.727,33.881,31.116,34.996,7.207,3.251,0.863,101.42,2.946,1.019,1.644
BigMec_1e4,20003,816.835,503.21,349.901,223.956,328.034,849.506,175.472,353.033,306.664,136.151,150.898,E,T,342.7,T,T,T,T,818.289,290.871,115.201,T,300.173,134.012,166.979
ManyMECs_1e1,32,0.144,0.404,1.078,0.168,1.052,0.124,0.12,0.398,0.118,0.147,0.148,0.095,T,0.335,0.229,0.159,E,0.076,0.097,T,0.033,0.056,T,0.022,0.04
ManyMECs_1e2,302,1.454,6.747,26.24,2.766,23.368,1.194,1.834,4.628,0.61,1.63,1.712,0.958,T,3.875,0.907,0.615,E,0.243,T,T,0.13,0.291,T,0.161,0.289
ManyMECs_1e3,3002,62.292,321.734,T,197.171,T,32.169,87.506,144.612,T,87.549,87.464,99.811,T,133.697,11.725,8.086,E,4.898,T,T,3.203,7.428,T,4.819,9.999
hm_10,21,0.323,0.205,0.368,0.248,0.377,0.172,0.172,0.347,0.087,0.238,0.246,0.163,0.098,0.429,0.33,0.259,0.503,0.171,0.327,0.113,0.22,0.086,0.425,0.177,0.396
hm_20,41,179.098,85.242,111.726,192.834,215.188,104.079,51.58,102.539,0.164,89.875,97.471,E,0.087,210.845,200.453,91.404,235.372,0.288,199.823,0.135,98.226,0.11,200.76,0.276,162.819
hm_25,51,T,T,T,T,T,T,T,T,0.213,T,T,E,0.204,T,T,T,T,0.382,T,0.152,T,0.146,T,0.348,
hm_5,11,0.053,0.069,0.044,0.101,0.132,0.074,0.065,0.097,0.127,0.12,0.106,0.055,0.07,0.114,0.164,0.082,0.087,0.073,0.126,0.049,0.149,0.076,0.119,0.047,0.098
