Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,OPT_OVI,OVI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_OVI,T_SI_SI,T_SVI,VI,WP
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_1,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_10,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_2,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_3,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_4,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_5,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_6,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_7,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_8,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_9,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_1,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_10,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_2,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_3,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_4,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_5,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_6,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_7,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_8,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_9,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_1,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_10,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_2,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_3,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_4,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_5,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_6,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_7,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_8,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_Model_9,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_1,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_10,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_11,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_12,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_13,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_14,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_15,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_16,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_17,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_18,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_19,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_2,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_20,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_3,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_4,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_5,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_6,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_7,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_8,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_9,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.01_Model_1,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.01_Model_10,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.01_Model_11,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_3_MinTransProb_0.01_Model_12,,,,,,,,,,,,,,,,,,,,
