Conf, Case Study, Verification Time, Number Of Verif. Phases, Iterations in Verif Phase
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_1, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_10, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_2, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_3, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_4, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_5, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_6, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_7, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_8, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_9, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_1, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_10, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_2, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_3, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_4, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_5, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_6, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_7, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_8, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_9, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_1, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_10, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_2, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_3, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_4, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_5, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_6, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_7, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_8, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_100_Model_9, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_1, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_10, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_11, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_12, 0, 0, 0
G_OVI, RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_13, 0, 0, 0
