Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_10, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_4, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_5, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_6, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_7, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_8, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_9, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_10, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_4, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_5, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_6, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_7, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_8, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_9, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_10, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_4, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_5, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_6, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_7, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_8, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_100_Model_9, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_1, 10002, 27927, 1, 9355, 646, 25, 9, 1.0E-4, 1208, 2.7921417, 3.0223956, 1.082465, 4932, 5070, 0.055176977, 0, , , , , 139, 508, 1, 4.64748201438849, , , , 
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_10, 10002, 27801, 1, 10000, 1, 11, 10, 1.0E-4, 1228, 2.779544, 3.018896, 1.086112, 5037, 4965, 0.08166915, 0, , , , , 1, 1, 1, 1.0, , , , 
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_11, 10002, 28361, 1, 10000, 1, 27, 10, 1.0E-4, 1537, 2.835533, 3.1416717, 1.1079651, 5043, 4959, 0.09948127, 0, , , , , 1, 1, 1, 1.0, , , , 
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_12, 10002, 28474, 1, 8811, 1190, 18, 10, 1.0E-4, 1450, 2.8468306, 3.129874, 1.099424, 4944, 5058, 0.07615397, 2\n?, ?, ?, ?, ?, 303, 888, 1, 3.927392739273927, 7, 7, 7.0, 7.0
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_13, 10002, 28026, 1, 10000, 1, 9, 10, 1.0E-4, 1486, 2.8020396, 3.094681, 1.1044388, 5032, 4970, 0.17681646, 0, , , , , 1, 1, 1, 1.0, , , , 
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_14, 10002, 27367, 1, 6328, 3673, 7, 10, 1.0E-4, 1443, 2.736153, 3.0286942, 1.1069171, 4966, 5036, 0.28320074, 2\n?, ?, ?, ?, ?, 832, 2842, 1, 4.414663461538462, , , , 
RANDOM_Size_10002_MinAct_3_MinTransProb_0.0001_Model_15, 10002, 25987, 1, 10000, 1, 5, 10, 1.0E-4, 1482, 2.5981803, 2.9038193, 1.1176357, 5097, 4905, 0.3703691, 0, , , , , 1, 1, 1, 1.0, , , , 
