Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
AV10_10_1, 106524, 231542, 396, 106128, 0, 6, 4, 0.1, 31140, 2.1736135, 2.7955203, 1.2861166, 53592, 52932, 0.30250847, 0, , , , , 0, 0, 0, 0.0, , , , 
AV10_10_2, 106524, 231542, 75552, 7136, 23836, 6, 4, 0.1, 31140, 2.1736135, 2.7955203, 1.2861166, 53592, 52932, 0.30250847, 6, 8527, 4, 2845.0, 4.0, 1824, 11007, 1, 13.067982456140351, , , , 
AV10_10_3, 106524, 231542, 91445, 1401, 13678, 6, 4, 0.1, 31140, 2.1736135, 2.7955203, 1.2861166, 53592, 52932, 0.30250847, 1, 12034, 12034, 12034.0, 12034.0, 47, 13632, 1, 291.02127659574467, , , , 
AV15_15_1, 480464, 1028092, 896, 479568, 0, 6, 4, 0.1, 158000, 2.1397898, 2.8735971, 1.3429343, 241032, 239432, 0.3173439, 0, , , , , 0, 0, 0, 0.0, , , , 
AV15_15_2, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AV15_15_3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
adt, 305, 366, 24, 238, 43, 4, 2, 0.11250000000000002, 18, 1.2, 1.2590164, 1.0491803, 281, 24, 0.0, 0, , , , , 43, 1, 1, 1.0, , , , 
cdmsn, 1240, 2059, 1240, 0, 0, 2, 4, 0.059071881973375796, 2041, 1.6604838, 5.032258, 3.0305974, 620, 620, 0.47596154, 0, , , , , 0, 0, 0, 0.0, 6, 13, 9.0, 9.0
charlton1, 502, 785, 382, 13, 107, 3, 2, 0.01, 455, 1.563745, 2.4701195, 1.5796179, 149, 353, 0.5927419, 0, , , , , 107, 1, 1, 1.0, 4, 27, 16.37142857142857, 16.0
charlton2, 502, 785, 2, 82, 418, 3, 2, 0.01, 455, 1.563745, 2.4701195, 1.5796179, 149, 353, 0.5927419, 0, , , , , 14, 405, 1, 29.857142857142858, 21, 21, 21.0, 21.0
cloud5, 8842, 34805, 7280, 781, 781, 11, 2, 0.001, 25632, 3.9363265, 6.8352184, 1.7364459, 4422, 4420, 0.71014446, 520, 1, 1, 1.0, 1.0, 521, 2, 1, 1.4990403071017275, 3, 22, 11.928571428571429, 12.0
cloud6, 34954, 155509, 30464, 1225, 3265, 13, 2, 0.001, 119456, 4.4489613, 7.866482, 1.7681613, 17478, 17476, 0.74775696, 2176, 1, 1, 1.0, 1.0, 2177, 2, 1, 1.4997703261368855, , , , 
coins, 19, 22, 9, 6, 4, 2, 2, 0.5, 4, 1.1578947, 1.3684211, 1.1818181, 19, 0, 0.07692308, 0, , , , , 4, 1, 1, 1.0, , , , 
dice100, 554395, 736789, 78750, 246701, 228944, 2, 6, 0.16666666666666666, 182995, 1.3289964, 2.9793992, 2.2418413, 186595, 367800, 0.110423766, 0, , , , , 228944, 1, 1, 1.0, , , , 
dice150, 1236595, 1645189, 174375, 550051, 512169, 2, 6, 0.16666666666666666, 409495, 1.3304186, 2.9861548, 2.2445226, 414895, 821700, 0.1106502, 0, , , , , 512169, 1, 1, 1.0, , , , 
dice50, 96295, 142489, 39750, 55701, 844, 2, 6, 0.16666666666666666, 595, 1.4797134, 1.5106081, 1.0208788, 48295, 48000, 0.0020211185, 0, , , , , 844, 1, 1, 1.0, , , , 
hallway10_10_1, 400000, 1008000, 400000, 0, 0, 5, 6, 0.01, 240000, 2.52, 4.472, 1.7746031, 240000, 160000, 0.44991055, 0, , , , , 0, 0, 0, 0.0, , , , 
hallway10_10_2, 400000, 1008000, 200000, 160000, 40000, 5, 6, 0.01, 240000, 2.52, 4.472, 1.7746031, 240000, 160000, 0.44991055, 0, , , , , 40000, 1, 1, 1.0, , , , 
hallway15_15_1, 2025000, 5157000, 2025000, 0, 0, 5, 6, 0.01, 1215000, 2.5466666, 4.516444, 1.7734729, 1215000, 810000, 0.45237157, 0, , , , , 0, 0, 0, 0.0, , , , 
hallway15_15_2, 2025000, 5157000, 1012500, 810000, 202500, 5, 6, 0.01, 1215000, 2.5466666, 4.516444, 1.7734729, 1215000, 810000, 0.45237157, 0, , , , , 202500, 1, 1, 1.0, , , , 
