Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
AV10_10_1,106524,2.893,2.279,2.521,3.386,2.699,1.998,2.636,2.523,1.461,2.474,2.063,1.457,1.478,3.116,2.796,2.653,2.925,3.616,3.502,1.703,3.192,1.294,3.405,3.528,1.085
AV10_10_2,106524,192.388,197.03,201.351,186.614,194.501,195.712,197.201,221.585,177.884,193.504,189.868,205.782,,291.112,,,,,374.932,179.32,189.995,,,185.463,134.814
AV10_10_3,106524,100.722,111.2,109.093,105.085,113.101,103.994,127.709,112.884,111.243,122.756,131.729,143.133,,129.477,,,,,275.562,135.361,133.184,,,147.992,75.612
AV15_15_1,480464,7.857,5.975,7.378,5.996,7.193,6.93,6.162,9.252,2.081,6.447,7.318,3.297,4.239,8.365,6.443,6.839,10.865,7.043,7.46,3.429,6.27,2.217,6.736,7.118,4.488
AV15_15_2,480464,,,,,,,,,,,,,,,,,,,,,,,,,
AV15_15_3,480464,625.88,628.624,610.557,620.33,616.316,598.17,628.815,,707.212,615.937,664.915,,,665.575,,,,,,731.412,584.164,,,674.42,
adt,305,0.083,0.079,0.122,0.092,0.097,0.086,0.109,0.173,0.179,0.108,0.076,0.091,0.149,0.2,0.125,0.125,0.1,0.189,0.118,0.083,0.075,0.041,,0.073,0.019
cdmsn,1240,0.18,0.131,0.085,0.157,0.138,0.125,0.15,0.218,0.171,0.233,0.165,0.076,0.152,0.118,0.147,0.177,0.205,0.192,0.143,0.12,0.207,0.081,0.114,0.223,0.058
charlton1,502,0.088,0.115,0.099,0.146,0.127,0.107,0.121,0.096,0.207,0.155,0.141,0.08,0.288,0.223,0.155,0.171,0.162,0.151,0.173,0.125,0.161,0.065,,0.118,0.07
charlton2,502,0.221,0.173,0.291,0.294,0.314,0.288,0.206,0.191,0.348,0.229,0.238,0.278,5.235,0.347,0.837,0.65,1.486,0.655,0.477,0.417,0.277,3.178,,0.222,0.121
cloud5,8842,1.575,1.252,2.853,1.779,2.904,1.471,1.671,1.946,0.442,1.843,1.555,0.33,7.555,3.207,2.38,,,1.043,2.357,1.149,1.8,0.275,,0.481,0.371
cloud6,34954,6.706,5.725,15.443,7.983,14.212,6.404,6.539,10.783,1.043,6.4,7.866,0.883,,12.606,60.453,,,,56.554,4.06,23.51,0.692,,1.489,1.206
coins,19,0.033,0.04,0.038,0.052,0.046,0.032,0.033,0.045,0.091,0.066,0.026,0.075,0.076,0.031,0.075,0.129,0.064,0.067,0.092,0.017,0.053,0.019,,0.052,0.02
dice100,554395,335.583,302.103,306.209,344.356,342.573,302.339,321.393,353.323,258.406,396.99,389.045,282.025,,446.059,546.116,511.22,483.242,422.853,422.493,236.544,288.126,143.186,,282.722,176.618
dice150,1236595,602.32,515.029,499.836,566.395,572.36,471.157,507.944,553.793,,744.984,709.376,410.477,,835.897,,,,,483.963,244.434,451.572,237.213,,499.487,336.72
dice50,96295,20.194,22.531,18.295,20.599,21.332,19.61,22.307,18.639,21.161,25.378,21.046,17.528,35.953,28.03,22.364,24.956,26.555,18.957,16.411,16.454,23.424,17.719,,16.085,15.95
hallway10_10_1,400000,35.837,31.788,30.302,27.621,30.651,31.256,28.766,31.844,26.37,33.535,36.506,29.541,29.725,43.476,43.432,44.504,53.492,36.333,33.514,30.975,36.527,28.582,36.892,29.517,23.06
hallway10_10_2,400000,10.778,9.386,8.796,8.619,11.516,9.538,9.607,8.246,3.3,11.795,9.862,3.265,,18.467,35.437,43.522,36.267,26.487,11.281,3.872,11.951,3.794,,8.309,2.279
hallway15_15_1,2025000,169.935,119.016,113.15,168.439,186.536,121.907,130.437,179.537,163.214,182.451,207.006,94.795,173.324,162.827,269.725,164.734,251.105,123.136,181.098,104.425,193.61,146.381,114.794,136.496,70.932
hallway15_15_2,2025000,33.208,42.01,34.663,38.251,36.671,44.057,32.384,35.893,17.699,41.09,38.209,16.282,,53.009,610.763,694.975,688.384,673.148,43.194,23.582,44.784,19.583,,40.196,11.508
mdsm1,62245,11.987,11.756,14.561,13.278,15.901,11.128,9.682,17.387,11.378,11.42,12.251,11.622,,19.555,13.804,16.666,18.753,18.502,11.438,8.197,9.753,8.87,,8.717,17.992
mdsm2,62245,0.993,0.833,1.11,1.319,1.059,0.904,0.772,1.149,0.406,1.151,1.328,0.557,0.404,1.801,1.301,1.154,1.622,1.356,0.971,0.402,1.042,0.461,1.437,1.235,0.337
prison_dil,102,0.082,0.049,0.062,0.089,0.087,0.106,0.059,0.077,0.255,0.104,0.072,0.057,0.072,0.206,0.116,0.077,0.245,0.129,0.091,0.039,0.106,0.049,,0.082,0.053
teamform3,12476,0.763,0.731,0.925,0.757,0.837,0.824,0.692,0.787,0.786,1.002,0.853,0.532,0.961,1.48,0.823,1.017,1.409,1.418,0.707,0.884,0.799,0.737,0.798,0.807,0.46
teamform4,96666,2.139,2.523,2.426,2.695,2.26,1.797,2.204,2.121,1.893,2.598,2.806,1.51,1.527,3.304,2.905,2.876,2.735,3.385,2.926,1.894,3.215,1.781,2.194,2.813,3.127
two_investors,172240,45.754,46.003,40.048,36.768,43.198,45.728,56.411,42.578,45.086,60.056,65.141,73.374,,62.933,,467.82,,,39.853,35.885,44.768,,,55.948,32.107
