Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
AV10_10_1,106524,1.544,1.072,3.199,1.079,2.587,1.043,1.094,2.168,1.279,0.938,0.658,1.046,1.152,1.89,1.13,1.029,2.253,2.487,1.216,1.333,1.326,1.698,1.964,2.291,0.798
AV10_10_2,106524,218.377,178.375,216.18,168.208,195.389,187.81,178.092,185.66,150.624,186.411,183.772,208.496,,281.058,,,,,356.751,177.154,189.275,,,204.573,117.626
AV10_10_3,106524,115.069,124.243,111.075,108.068,111.984,113.504,102.733,107.811,119.39,130.587,130.225,158.539,,138.561,,,,,248.025,123.965,118.192,,,128.285,66.878
AV15_15_1,480464,4.487,3.015,5.898,1.926,4.106,2.007,2.471,4.555,2.604,3.227,2.275,3.567,2.538,3.649,5.325,2.796,5.186,6.196,3.381,2.305,3.116,1.915,4.497,4.638,4.195
AV15_15_2,480464,,875.349,,,,,,,,,877.27,,,,,,,,,,,,,,
AV15_15_3,480464,560.833,600.259,585.52,564.718,594.981,573.227,613.746,598.043,636.857,623.94,612.878,,,,,,,,,696.383,,,,732.31,
adt,305,0.074,0.089,0.136,0.149,0.082,0.088,0.05,0.094,0.195,0.065,0.064,0.086,0.126,0.085,0.13,0.081,0.104,0.08,0.118,0.052,0.076,0.039,,0.08,0.025
cdmsn,1240,0.094,0.073,0.179,0.166,0.141,0.114,0.081,0.163,0.207,0.105,0.117,0.167,0.069,0.119,0.141,0.082,0.104,0.167,0.11,0.092,0.102,0.121,0.09,0.083,0.084
charlton1,502,0.064,0.085,0.15,0.13,0.116,0.129,0.086,0.184,0.251,0.112,0.106,0.125,0.3,0.097,0.159,0.119,0.163,0.199,0.179,0.108,0.086,0.051,,0.075,0.065
charlton2,502,0.155,0.145,0.294,0.255,0.482,0.128,0.138,0.404,0.3,0.146,0.159,0.318,6.271,0.37,0.585,0.648,1.824,0.521,0.304,0.271,0.193,2.025,,0.121,0.222
cloud5,8842,1.43,0.972,2.299,1.679,2.93,1.455,1.339,2.004,0.374,1.454,1.261,0.315,7.294,1.692,1.564,,,0.77,1.715,1.134,1.303,0.257,,0.508,0.329
cloud6,34954,6.842,4.438,12.591,7.398,12.916,6.783,5.28,9.826,0.98,5.357,5.286,0.72,,9.85,47.443,,,,54.886,3.383,23.203,0.62,,1.665,1.346
coins,19,0.032,0.019,0.022,0.043,0.052,0.039,0.029,0.024,0.084,0.038,0.02,0.024,0.032,0.028,0.101,0.088,0.034,0.037,0.093,0.026,0.027,0.014,,0.03,0.01
dice100,554395,278.123,242.992,289.65,283.954,346.314,255.464,236.886,324.634,256.771,278.977,307.826,262.293,,408.981,497.697,393.111,513.095,409.65,327.051,207.1,219.036,146.88,,310.584,176.163
dice150,1236595,452.854,328.36,484.671,415.874,590.886,341.09,349.185,497.828,,535.732,572.084,395.985,,,,,,,306.363,236.443,264.061,258.699,,474.512,333.223
dice50,96295,17.501,17.573,17.833,16.295,21.353,15.415,18.635,21.196,13.603,16.787,15.194,16.905,24.948,28.572,23.41,27.648,21.153,19.78,17.763,18.409,21.61,18.775,,17.543,15.407
hallway10_10_1,400000,28.089,27.753,31.192,27.714,32.312,28.792,31.354,35.131,28.793,32.38,30.298,29.138,30.188,45.253,33.767,43.139,43.962,33.882,28.992,32.669,28.851,32.149,31.094,30.221,20.671
hallway10_10_2,400000,2.698,2.539,9.32,1.834,7.377,2.761,2.881,7.247,2.952,2.683,3.142,3.508,,9.145,32.252,34.931,36.856,28.316,5.544,3.743,5.999,4.484,,7.917,2.395
hallway15_15_1,2025000,103.628,177.129,178.584,109.846,161.367,103.296,155.794,147.803,99.159,152.806,162.945,154.48,112.0,232.913,223.403,147.911,142.634,184.608,171.796,172.482,157.809,106.88,133.214,170.268,75.134
hallway15_15_2,2025000,14.163,18.365,27.78,14.657,24.486,14.314,9.163,26.409,21.972,14.175,14.141,17.069,,41.319,620.513,649.36,677.523,673.898,18.688,18.499,18.208,20.376,,29.548,10.794
mdsm1,62245,10.712,11.888,11.696,10.402,14.77,10.772,9.82,15.081,14.106,8.577,9.244,12.229,,17.923,11.005,17.115,15.765,16.117,8.452,9.168,9.219,10.477,,10.444,17.318
mdsm2,62245,0.271,0.325,0.695,0.251,0.702,0.256,0.29,0.662,0.541,0.299,0.259,0.454,0.409,0.634,0.287,0.344,0.675,0.743,0.279,0.551,0.405,0.295,0.698,0.748,0.316
prison_dil,102,0.058,0.036,0.068,0.039,0.076,0.06,0.048,0.076,0.133,0.072,0.058,0.058,0.071,0.066,0.065,0.096,0.142,0.064,0.045,0.034,0.082,0.055,,0.034,0.028
teamform3,12476,0.488,0.688,0.799,0.545,0.847,0.666,0.71,0.69,0.745,0.793,0.444,0.552,0.6,1.166,0.763,0.798,0.792,0.929,0.595,0.799,0.716,0.713,0.76,0.883,0.48
teamform4,96666,1.442,2.053,1.941,1.451,2.384,1.683,1.37,2.161,1.518,1.683,1.346,1.827,1.824,3.349,1.441,2.117,2.813,2.788,2.235,2.626,1.835,2.963,2.842,2.147,3.221
two_investors,172240,33.255,40.273,36.526,34.163,35.99,32.895,50.415,38.438,49.17,60.591,56.643,69.92,,57.142,,512.606,,,42.073,33.993,29.461,,,47.554,33.92
