Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_OVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
AV10_10_1,106524,1.031,1.245,2.819,1.081,1.179,2.059,1.046,1.368,2.019,1.181,1.096,0.865,1.532,1.17,2.691,1.028,1.179,2.596,2.251,1.51,1.092,1.348,1.691,2.841,2.838,0.831
AV10_10_2,106524,208.634,173.263,206.863,164.106,208.962,206.622,193.059,174.845,212.155,175.876,187.13,193.745,221.077,,293.188,,,,,378.861,171.812,212.294,,,199.581,104.238
AV10_10_3,106524,114.11,112.807,111.704,115.017,134.593,107.458,108.541,115.675,103.392,113.569,127.054,137.999,169.342,,133.915,,,,,258.605,121.654,115.132,,,138.117,72.968
AV15_15_1,480464,2.589,2.448,5.311,2.252,2.836,4.766,2.378,3.19,4.257,3.128,3.065,4.804,2.365,3.121,4.905,2.375,3.788,6.791,5.855,5.717,3.24,2.647,1.886,6.205,5.115,4.981
AV15_15_2,480464,,,,,,,,,,,,834.197,,,,,,,,,,,,,,
AV15_15_3,480464,563.218,579.646,583.888,538.639,523.124,589.094,556.581,633.567,,,609.833,580.898,,,684.031,,,,,,715.091,,,,545.757,
adt,305,0.082,0.061,0.087,0.115,0.105,0.095,0.097,0.064,0.123,0.176,0.087,0.078,0.088,0.131,0.1,0.144,0.111,0.124,0.088,0.076,0.079,0.102,0.047,,0.094,0.022
cdmsn,1240,0.084,0.078,0.129,0.086,0.178,0.106,0.141,0.156,0.095,0.232,0.107,0.127,0.183,0.118,0.172,0.15,0.143,0.158,0.153,0.078,0.089,0.155,0.089,0.147,0.168,0.053
charlton1,502,0.073,0.112,0.119,0.14,0.142,0.115,0.105,0.107,0.161,0.22,0.139,0.089,0.124,0.337,0.153,0.148,0.107,0.227,0.17,0.131,0.156,0.165,0.067,,0.102,0.07
charlton2,502,0.179,0.16,0.227,0.193,0.195,0.389,0.188,0.191,0.217,0.318,0.222,0.143,0.25,5.751,0.339,0.879,0.634,1.758,0.547,0.286,0.484,0.175,3.406,,0.236,0.178
cloud5,8842,1.342,1.115,2.511,1.559,1.711,2.827,1.338,0.962,1.953,0.455,1.013,1.153,0.297,5.438,1.661,1.69,,,0.789,1.818,1.033,1.636,0.325,,0.48,0.313
cloud6,34954,5.149,4.742,13.357,7.437,6.632,12.98,5.621,5.358,10.203,1.098,4.778,6.124,1.037,,9.577,62.32,,,,51.123,4.397,21.464,0.822,,1.292,1.332
