Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_OVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
AV10_10_1,106524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV10_10_2,106524,0.9999993049204932,0.9999993049204932,0.9999996622376023,0.9999993049204932,0.9999999576868746,0.9999992504741452,0.9999993049204932,0.9999999576868746,0.9999991118574816,0.9999999576893492,0.9999999576868746,0.9999999576868746,0.9999999578163292,,0.9999989959469745,,,,,0.9999999575286058,0.9999999576893494,0.09999998808536295,,,0.9999999570854503,0.9999993049204932
AV10_10_3,106524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0
AV15_15_1,480464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AV15_15_2,480464,,,,,,,,,,,,0.9999999999999019,,,,,,,,,,,,,,
AV15_15_3,480464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,
adt,305,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.0,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,0.022950000000000005,,0.022950000000000005,0.022950000000000005
cdmsn,1240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
charlton1,502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
charlton2,502,0.9476067836642807,0.9476066208001244,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476066226457354,0.9476066208001244,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476066226457354,0.9476067836642807,0.9476067836642807,0.6393581462984906,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,0.9476067836642807,,0.9476067836642807,0.9476066208001244
