Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1, 10002, 28003, 1, 5013, 4988, 10, 7, 0.01, 16234, 4467, 1, 1, 1.0, 1.0, 4583, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10, 10002, 28003, 1, 5005, 4996, 10, 8, 0.01, 16253, 4469, 1, 1, 1.0, 1.0, 4587, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11, 10002, 28003, 1, 4913, 5088, 10, 8, 0.01, 16395, 4554, 1, 1, 1.0, 1.0, 4926, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12, 10002, 28003, 1, 5096, 4905, 10, 8, 0.01, 16239, 4392, 1, 1, 1.0, 1.0, 4535, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13, 10002, 28003, 1, 4949, 5052, 10, 7, 0.01, 16340, 4509, 1, 1, 1.0, 1.0, 4714, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14, 10002, 28003, 1, 4921, 5080, 10, 8, 0.01, 16224, 4540, 1, 1, 1.0, 1.0, 4644, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15, 10002, 28003, 1, 4988, 5013, 10, 8, 0.01, 16310, 4514, 1, 1, 1.0, 1.0, 4679, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16, 10002, 28003, 1, 4936, 5065, 10, 8, 0.01, 16289, 4506, 1, 1, 1.0, 1.0, 4771, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17, 10002, 28003, 1, 4970, 5031, 10, 8, 0.01, 16353, 4498, 1, 1, 1.0, 1.0, 4603, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18, 10002, 28003, 1, 5005, 4996, 10, 7, 0.01, 16344, 4446, 1, 1, 1.0, 1.0, 4913, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19, 10002, 28003, 1, 4986, 5015, 10, 8, 0.01, 16310, 4483, 1, 1, 1.0, 1.0, 4648, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2, 10002, 28003, 1, 5065, 4936, 10, 8, 0.01, 16355, 4416, 1, 1, 1.0, 1.0, 4560, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20, 10002, 28003, 1, 4917, 5084, 10, 7, 0.01, 16285, 4556, 1, 1, 1.0, 1.0, 4734, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_21, 10002, 28003, 1, 4951, 5050, 10, 7, 0.01, 16314, 4487, 1, 1, 1.0, 1.0, 4609, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_22, 10002, 28003, 1, 5023, 4978, 10, 8, 0.01, 16249, 4432, 1, 1, 1.0, 1.0, 4569, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_23, 10002, 28003, 1, 4999, 5002, 10, 8, 0.01, 16289, 4480, 1, 1, 1.0, 1.0, 4806, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_24, 10002, 28003, 1, 5015, 4986, 10, 8, 0.01, 16247, 4464, 1, 1, 1.0, 1.0, 4633, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_25, 10002, 28003, 1, 5020, 4981, 10, 8, 0.01, 16278, 4460, 1, 1, 1.0, 1.0, 4604, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_26, 10002, 28003, 1, 4902, 5099, 10, 8, 0.01, 16284, 4574, 1, 1, 1.0, 1.0, 4822, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_27, 10002, 28003, 1, 5079, 4922, 10, 8, 0.01, 16238, 4422, 1, 1, 1.0, 1.0, 4569, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_28, 10002, 28003, 1, 5017, 4984, 10, 7, 0.01, 16287, 4452, 1, 1, 1.0, 1.0, 4908, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_29, 10002, 28003, 1, 4918, 5083, 10, 8, 0.01, 16314, 4554, 1, 1, 1.0, 1.0, 4932, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_3, 10002, 28003, 1, 5041, 4960, 10, 7, 0.01, 16273, 4432, 1, 1, 1.0, 1.0, 4730, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_30, 10002, 28003, 1, 5027, 4974, 10, 8, 0.01, 16289, 4458, 1, 1, 1.0, 1.0, 4755, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_4, 10002, 28003, 1, 4953, 5048, 10, 8, 0.01, 16289, 4489, 1, 1, 1.0, 1.0, 4617, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_5, 10002, 28003, 1, 4959, 5042, 10, 8, 0.01, 16182, 4501, 1, 1, 1.0, 1.0, 4781, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_6, 10002, 28003, 1, 4939, 5062, 10, 7, 0.01, 16324, 4519, 1, 1, 1.0, 1.0, 4713, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_7, 10002, 28003, 1, 4912, 5089, 10, 9, 0.01, 16264, 4535, 1, 1, 1.0, 1.0, 4770, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_8, 10002, 28003, 1, 4892, 5109, 10, 8, 0.01, 16280, 4584, 1, 1, 1.0, 1.0, 4964, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_9, 10002, 28003, 1, 5043, 4958, 10, 7, 0.01, 16283, 4433, 1, 1, 1.0, 1.0, 4539, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1, 10002, 26003, 1, 4691, 5310, 5, 8, 0.01, 15265, 3957, 1, 1, 1.0, 1.0, 4105, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10, 10002, 26003, 1, 4713, 5288, 5, 9, 0.01, 15355, 3966, 1, 1, 1.0, 1.0, 4176, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11, 10002, 26003, 1, 4686, 5315, 5, 7, 0.01, 15280, 3985, 1, 1, 1.0, 1.0, 4184, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12, 10002, 26003, 1, 4717, 5284, 5, 8, 0.01, 15268, 3997, 1, 1, 1.0, 1.0, 4238, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13, 10002, 26003, 1, 4661, 5340, 5, 8, 0.01, 15302, 4050, 1, 1, 1.0, 1.0, 4457, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14, 10002, 26003, 1, 4794, 5207, 5, 8, 0.01, 15299, 3993, 1, 1, 1.0, 1.0, 4470, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15, 10002, 26003, 1, 4677, 5324, 5, 8, 0.01, 15209, 4042, 1, 1, 1.0, 1.0, 4504, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16, 10002, 26003, 1, 4665, 5336, 5, 8, 0.01, 15220, 4003, 1, 1, 1.0, 1.0, 4171, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17, 10002, 26003, 1, 4529, 5472, 5, 8, 0.01, 15341, 4109, 1, 1, 1.0, 1.0, 4439, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18, 10002, 26003, 1, 4681, 5320, 5, 7, 0.01, 15266, 4023, 1, 1, 1.0, 1.0, 4410, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19, 10002, 26003, 1, 4792, 5209, 5, 8, 0.01, 15380, 3929, 1, 1, 1.0, 1.0, 4318, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2, 10002, 26003, 1, 4681, 5320, 5, 8, 0.01, 15271, 4001, 1, 1, 1.0, 1.0, 4166, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20, 10002, 26003, 1, 4640, 5361, 5, 8, 0.01, 15329, 4038, 1, 1, 1.0, 1.0, 4190, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_21, 10002, 26003, 1, 4677, 5324, 5, 7, 0.01, 15252, 3988, 1, 1, 1.0, 1.0, 4150, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_22, 10002, 26003, 1, 4710, 5291, 5, 7, 0.01, 15289, 3963, 1, 1, 1.0, 1.0, 4238, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_23, 10002, 26003, 1, 4779, 5222, 5, 7, 0.01, 15331, 3929, 1, 1, 1.0, 1.0, 4095, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_24, 10002, 26003, 1, 4687, 5314, 5, 8, 0.01, 15320, 3963, 1, 1, 1.0, 1.0, 4112, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_25, 10002, 26003, 1, 4678, 5323, 5, 8, 0.01, 15252, 4006, 1, 1, 1.0, 1.0, 4160, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_26, 10002, 26003, 1, 4601, 5400, 5, 8, 0.01, 15229, 4068, 1, 1, 1.0, 1.0, 4224, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_27, 10002, 26003, 1, 4723, 5278, 5, 8, 0.01, 15343, 3959, 1, 1, 1.0, 1.0, 4103, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_28, 10002, 26003, 1, 4743, 5258, 5, 8, 0.01, 15282, 3991, 1, 1, 1.0, 1.0, 4499, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_29, 10002, 26003, 1, 4649, 5352, 5, 8, 0.01, 15321, 4038, 1, 1, 1.0, 1.0, 4176, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3, 10002, 26003, 1, 4688, 5313, 5, 8, 0.01, 15262, 4021, 1, 1, 1.0, 1.0, 4207, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_30, 10002, 26003, 1, 4776, 5225, 5, 8, 0.01, 15350, 3966, 1, 1, 1.0, 1.0, 4496, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4, 10002, 26003, 1, 4712, 5289, 5, 7, 0.01, 15316, 3985, 1, 1, 1.0, 1.0, 4359, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5, 10002, 26003, 1, 4781, 5220, 5, 8, 0.01, 15279, 3918, 1, 1, 1.0, 1.0, 4175, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6, 10002, 26003, 1, 4852, 5149, 5, 7, 0.01, 15287, 3916, 1, 1, 1.0, 1.0, 4438, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_7, 10002, 26003, 1, 4658, 5343, 5, 7, 0.01, 15258, 4006, 1, 1, 1.0, 1.0, 4152, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8, 10002, 26003, 1, 4522, 5479, 5, 7, 0.01, 15314, 4124, 1, 1, 1.0, 1.0, 4302, , , , 
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9, 10002, 26003, 1, 4683, 5318, 5, 7, 0.01, 15263, 4005, 1, 1, 1.0, 1.0, 4169, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_1, 10002, 20003, 1, 3011, 6990, 2, 8, 0.01, 12288, 2484, 1, 1, 1.0, 1.0, 2676, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_10, 10002, 20003, 1, 2906, 7095, 2, 8, 0.01, 12346, 2514, 1, 1, 1.0, 1.0, 2741, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_11, 10002, 20003, 1, 3014, 6987, 2, 8, 0.01, 12302, 2450, 1, 1, 1.0, 1.0, 2638, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_12, 10002, 20003, 1, 2969, 7032, 2, 7, 0.01, 12234, 2535, 1, 1, 1.0, 1.0, 2766, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_13, 10002, 20003, 1, 2980, 7021, 2, 7, 0.01, 12278, 2542, 1, 1, 1.0, 1.0, 2785, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_14, 10002, 20003, 1, 3018, 6983, 2, 8, 0.01, 12314, 2467, 1, 1, 1.0, 1.0, 2686, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_15, 10002, 20003, 1, 2996, 7005, 2, 8, 0.01, 12343, 2443, 1, 1, 1.0, 1.0, 2651, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_16, 10002, 20003, 1, 2988, 7013, 2, 8, 0.01, 12289, 2458, 1, 1, 1.0, 1.0, 2640, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_17, 10002, 20003, 1, 2974, 7027, 2, 8, 0.01, 12297, 2488, 1, 1, 1.0, 1.0, 2714, , , , 
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_18, 10002, 20003, 1, 3017, 6984, 2, 7, 0.01, 12352, 2453, 1, 1, 1.0, 1.0, 2638, , , , 
