Model,#States,AMPL_M,AMPL_T,AMPL_W,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1,10002,,,17,137,18,22,,,,17,6,4630,4600,4602,4602
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10,10002,,,11,116,10,15,,,,11,9,4611,4597,4599,4599
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11,10002,,,6,110,9,9,,,,6,6,4937,4936,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12,10002,,,13,1,1,16,,,,13,9,4554,4545,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13,10002,,,5,118,13,8,,,,5,5,4758,4726,4720,4720
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14,10002,,,10,1,1,13,,,,10,5,4671,4660,4654,4654
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15,10002,,,27,1,1,34,,,,27,5,4716,4689,4710,4710
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16,10002,,,6,112,10,9,,,,6,6,4782,4779,4776,4776
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17,10002,,,6,127,14,9,,,,6,6,4690,4617,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18,10002,,,5,1,1,9,,,,5,5,4927,4921,4918,4918
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19,10002,,,14,112,10,17,,,,14,10,4663,4656,4662,4662
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2,10002,,,6,112,10,9,,,,6,6,4575,4569,4566,4566
