Model,#States,AMPL_M,AMPL_T,AMPL_W,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1,10002,,2.798,2.679,3.269,2.067,3.368,,,2.744,2.484,,17.5,17.062,16.584,17.646
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10,10002,,2.105,2.447,2.841,1.487,2.251,,,,2.075,,18.754,17.664,16.994,16.721
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11,10002,,2.625,2.373,3.085,2.129,2.3,,,,2.472,,18.489,17.689,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12,10002,,2.204,2.263,1.82,1.581,2.388,,,3.981,2.448,,17.735,16.338,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13,10002,,2.212,2.355,3.157,1.759,2.318,,,3.789,2.873,,17.364,16.306,18.647,16.965
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14,10002,,2.337,2.599,1.974,2.301,2.261,,,,2.868,,17.354,18.377,18.005,16.412
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15,10002,,2.504,2.648,1.658,1.863,2.586,,,,1.993,,16.7,17.912,17.156,17.966
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16,10002,,2.196,2.146,2.889,1.597,2.265,,,3.31,2.262,,17.25,18.227,18.646,16.886
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17,10002,,2.623,2.495,2.629,1.659,2.148,,,,2.708,,17.374,18.584,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18,10002,,1.965,2.349,1.757,1.712,2.345,,,,2.322,,17.012,18.481,16.854,17.69
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19,10002,,2.268,2.569,2.398,1.608,2.365,,,3.257,2.38,,17.346,17.602,20.878,16.996
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2,10002,,2.362,2.396,2.717,1.902,2.686,,,2.716,2.578,,17.121,16.845,16.955,16.072
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20,10002,,2.554,2.569,2.687,1.82,1.972,,,,2.361,,18.272,18.387,17.457,18.772
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_21,10002,,2.322,2.658,2.775,1.908,1.929,,,,2.303,,17.696,17.489,17.163,18.745
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_22,10002,,2.115,2.56,1.716,1.564,2.614,,,3.748,2.744,,18.427,16.783,15.813,17.429
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_23,10002,,1.849,2.375,1.922,1.685,2.179,,,2.229,2.355,,17.21,17.679,18.489,18.179
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_24,10002,,2.17,3.763,1.751,1.634,2.124,,,2.345,2.316,,16.665,17.523,13.519,18.67
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_25,10002,,2.192,2.292,1.489,1.671,2.031,,,2.403,2.23,,16.131,18.044,13.558,20.428
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_26,10002,,2.542,2.917,2.804,2.152,2.562,,,2.497,2.561,,,18.566,17.047,17.549
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_27,10002,,2.266,2.46,1.971,1.874,2.223,,,3.316,2.486,,,17.316,16.567,17.187
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_28,10002,,1.964,2.533,1.562,1.827,2.361,,,3.524,2.767,,,17.105,17.37,17.443
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_29,10002,,2.3,2.912,2.536,1.68,2.695,,,,2.016,,25.065,18.045,17.971,16.71
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_3,10002,,1.915,2.302,1.984,1.57,2.153,,,2.882,2.242,,16.817,18.135,19.244,18.596
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_30,10002,,2.133,2.634,2.84,1.69,2.77,,,2.073,2.596,,,17.238,18.185,16.82
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_4,10002,,2.919,2.731,1.593,1.784,2.583,,,,2.363,,15.867,18.234,19.674,20.271
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_5,10002,,2.87,3.364,3.005,2.111,2.565,,,2.639,2.635,,19.457,17.994,17.721,16.352
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_6,10002,,2.342,2.257,2.98,1.766,2.259,,,,2.814,,16.836,19.103,20.155,13.745
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_7,10002,,2.589,2.293,1.705,1.505,2.244,,,3.885,2.759,,17.692,19.956,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_8,10002,,2.394,2.688,2.733,2.031,2.395,,,,2.582,,16.693,19.235,20.457,12.585
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_9,10002,,,3.021,2.68,1.759,3.266,,,,2.548,,16.517,17.579,16.566,12.215
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,10002,,3.493,3.245,5.359,1.858,3.654,,,4.803,3.031,,15.731,18.599,16.168,11.85
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,10002,,2.733,2.462,3.955,1.813,3.82,,,3.865,2.626,,16.519,14.842,15.666,10.709
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,10002,,2.752,2.574,2.68,1.871,2.248,,,3.641,3.188,,16.305,16.075,15.926,10.824
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,10002,,3.199,2.312,2.953,1.915,2.323,,,3.8,2.809,,17.059,15.314,18.142,11.433
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,10002,,2.662,2.352,4.319,1.814,3.532,,,2.249,2.896,,16.794,16.863,17.392,10.461
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,10002,,2.648,2.467,3.695,1.557,2.673,,,2.052,2.336,,18.706,17.579,16.859,10.264
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,10002,,2.713,3.233,2.07,1.661,2.688,,,,2.623,,18.357,16.864,19.613,17.362
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,10002,,2.448,2.64,3.585,2.01,2.843,,,2.482,3.095,,15.96,15.945,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,10002,,2.532,2.417,2.895,1.847,2.54,,,2.931,2.964,,17.531,16.184,17.256,17.612
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,10002,,2.51,2.68,2.977,1.673,2.46,,,,2.509,,17.169,16.992,20.116,15.871
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,10002,,2.392,2.401,1.692,1.614,2.033,,,4.398,2.29,,16.663,16.791,15.631,17.28
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,10002,,2.473,3.215,2.326,2.018,2.642,,,3.354,2.557,,17.32,15.176,15.308,16.254
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,10002,,2.662,2.549,2.727,2.114,2.764,,,3.533,2.859,,16.495,16.817,17.866,17.271
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,10002,,2.798,2.959,3.148,2.264,3.266,,,6.22,2.934,,16.697,16.776,14.683,17.463
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,10002,,2.949,3.073,2.913,2.322,2.94,,,2.275,2.876,,17.416,15.465,14.663,16.358
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,10002,,2.434,2.389,2.72,2.082,3.027,,,,2.492,,15.575,14.325,14.31,15.863
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,10002,,2.837,2.735,2.708,1.685,2.865,,,,2.734,,14.524,16.134,11.202,16.222
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,10002,,2.722,2.599,3.024,2.06,2.802,,,3.146,3.313,,16.971,15.331,10.7,15.075
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,10002,,2.808,2.691,1.932,1.685,2.584,,,,2.753,,16.878,16.222,11.74,16.665
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,10002,,3.002,2.569,3.052,2.077,2.515,,,,3.668,,16.51,17.096,10.89,15.673
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_28,10002,,2.31,2.464,3.021,1.812,2.589,,,4.661,2.638,,16.725,17.413,12.141,15.192
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_29,10002,,3.016,2.714,2.229,3.14,2.821,,,3.766,3.217,,18.507,17.219,12.235,15.045
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,10002,,2.783,2.528,2.056,2.491,2.596,,,3.631,3.449,,16.342,16.202,10.895,17.046
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_30,10002,,2.513,2.963,2.662,1.657,2.78,,,3.81,2.291,,17.105,16.135,11.528,15.48
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,10002,,2.437,2.35,1.79,1.748,2.552,,,3.169,2.305,,21.615,16.886,18.053,17.179
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,10002,,2.662,2.609,3.49,2.404,2.617,,,3.639,3.251,,18.002,16.043,17.146,18.41
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,10002,,,2.46,2.997,1.725,2.448,,,2.592,2.428,,16.141,17.727,17.18,15.797
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,10002,,3.449,2.917,2.944,1.875,2.465,,,3.647,2.719,,16.108,15.54,17.369,12.991
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,10002,,3.224,2.97,3.165,1.896,2.856,,,3.26,3.918,,18.01,17.953,18.81,12.552
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,10002,,3.787,2.809,2.476,1.717,2.442,,,,3.58,,17.249,18.701,17.424,10.521
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_1,10002,,2.63,,4.055,2.003,17.153,,,,,,13.171,14.632,13.327,10.303
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_10,10002,,3.932,,2.597,1.474,4.955,,,,,,14.74,13.93,12.997,8.848
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_11,10002,,3.213,,2.385,2.025,9.296,,,,,55.696,12.489,13.765,13.156,8.048
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_12,10002,,,,2.161,1.46,4.235,,,,,,13.446,16.504,15.393,9.409
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_13,10002,,3.098,,2.239,1.645,2.35,,,,,,11.992,13.813,10.871,7.858
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_14,10002,,2.959,,2.295,1.601,3.953,,,,,,10.689,12.681,10.768,9.019
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_15,10002,,3.272,,2.191,1.653,6.916,,,,,,13.557,15.313,12.804,8.411
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_16,10002,,3.033,,2.382,1.509,3.688,,,,,,11.786,13.254,12.609,8.038
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_17,10002,,,,2.364,1.692,7.956,,,,,,12.595,13.693,13.82,9.739
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_18,10002,,3.647,,2.527,1.531,6.283,,,,,,12.66,15.634,12.763,8.025
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_19,10002,,2.91,,2.752,1.698,4.628,,,,,,14.515,12.672,13.69,8.881
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_2,10002,,3.232,,2.349,1.598,6.248,,,,,,12.06,12.476,14.677,8.356
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_20,10002,,2.596,,2.145,1.637,1.885,,,,,,12.001,11.493,11.601,12.016
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_21,10002,,3.031,,2.12,1.719,2.355,,,,,,12.807,11.426,13.653,11.958
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_22,10002,,2.635,,2.904,1.613,4.064,,,,,,12.724,13.166,15.051,14.462
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_23,10002,,,,2.117,1.885,4.702,,,,,,13.791,12.48,13.807,14.979
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_24,10002,,3.191,,2.41,1.322,2.308,,,,,,13.158,12.402,11.959,11.545
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_25,10002,,3.046,,2.939,1.974,3.799,,,,,,12.363,11.533,15.657,12.002
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_26,10002,,3.014,40.842,2.196,1.675,4.022,,,,42.76,,12.408,12.386,13.179,15.533
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_27,10002,,3.06,,2.312,1.453,4.199,,,,,,14.091,12.918,15.286,14.768
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_28,10002,,3.56,,2.536,1.415,6.424,,,,,,13.637,13.404,13.64,14.405
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_29,10002,,2.902,,2.577,1.675,6.087,,,,,,12.015,13.226,14.186,14.839
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_3,10002,,3.567,,2.346,1.705,3.449,,,,,,11.511,11.837,13.26,13.694
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_30,10002,,3.408,,2.162,1.476,5.881,,,,,,13.455,12.086,13.998,13.884
