Model,#States,AMPL_M,AMPL_T,AMPL_W,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1,10002,,0.0,0.0,0.004285714285714286,0.004285714285714287,0.004285712008110001,,,0.0,0.0,,0.004285714285714287,0.004285714285714287,0.004285714285714287,0.004285714285714287
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10,10002,,0.0,1.0,0.03460000000000001,0.03460000000000001,0.03460000000000001,,,,1.0,,0.03460000000000001,0.03460000000000001,0.03460000000000001,0.03460000000000001
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11,10002,,0.0,1.0,0.0083,0.0083,0.0083,,,,1.0,,0.0083,0.0083,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13,10002,,0.0,1.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14,10002,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15,10002,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16,10002,,0.006,0.8,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.8,0.8,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17,10002,,0.0,1.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,,1.0,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18,10002,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19,10002,,0.0,1.0,0.033350000000000005,0.033350000000000005,0.033350000000000005,,,1.0,1.0,,0.033350000000000005,0.033350000000000005,0.033350000000000005,0.033350000000000005
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2,10002,,0.003,1.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20,10002,,0.0,1.0,0.03878,0.03878,0.03878,,,,1.0,,0.03878,0.03878,0.03878,0.03878
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_21,10002,,0.0,1.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_22,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_23,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_24,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_25,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_26,10002,,0.0,1.0,0.2746,0.2746,0.2746,,,1.0,1.0,,,0.2746,0.2746,0.2746
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_27,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_28,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
