Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,1002,,,127,18,39,,,,27,17,469,455,472,472
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,1002,,,108,7,23,,,,20,5,484,464,478,478
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,1002,,,116,14,16,,,,12,8,429,420,419,419
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,1002,,,102,4,15,,,,12,8,449,442,448,448
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,1002,,,121,18,11,,,,8,6,460,455,448,448
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,1002,,,118,12,26,,,,20,14,450,434,440,440
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,1002,,,101,4,16,,,,12,7,452,447,452,452
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,1002,,,1,1,10,,,,6,5,443,439,440,440
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,1002,,,124,18,11,,,,8,7,451,442,434,434
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,1002,,,107,7,10,,,,6,6,510,509,511,511
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,1002,,,121,14,16,,,,13,10,424,415,414,414
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,1002,,,118,13,19,,,,13,8,511,485,447,447
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,1002,,,102,4,10,,,,6,6,451,447,447,447
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,1002,,,1,1,15,,,,12,9,475,471,478,478
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,1002,,,109,8,14,,,,11,6,491,480,488,488
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,1002,,,116,13,19,,,,14,9,455,443,441,441
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,1002,,,109,7,9,,,,6,5,456,453,454,454
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,1002,,,1,1,11,,,,7,5,416,411,413,413
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,1002,,,108,8,13,,,,9,6,445,443,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,1002,,,115,12,67,,,,28,6,448,436,449,449
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_28,1002,,,112,10,13,,,,9,7,437,433,436,436
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_29,1002,,,102,3,9,,,,6,5,444,441,441,441
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,1002,,,142,12,12,,,,9,7,468,431,428,428
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_30,1002,,,118,14,24,,,,18,12,415,402,404,404
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,1002,,,118,12,17,,,,14,10,434,426,428,428
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,1002,,,1,1,9,,,,6,5,464,460,455,455
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,1002,,,103,5,21,,,,18,9,443,432,443,443
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,1002,,,1,1,20,,,,16,9,444,433,439,439
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,1002,,,1,1,11,,,,7,5,444,441,442,442
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,1002,,,1,1,12,,,,9,6,442,438,440,440
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_1,1002,,,111,9,9,,,,6,6,504,491,488,488
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_10,1002,,,107,6,8,,,,5,5,482,482,483,483
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_11,1002,,,116,13,8,,,,5,5,473,467,460,460
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_12,1002,,,108,6,8,,,,6,5,471,464,464,464
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_13,1002,,,1,1,8,,,,5,5,500,499,500,500
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_14,1002,,,113,11,7,,,,5,5,494,489,484,484
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_15,1002,,,117,12,9,,,,6,5,478,469,465,465
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_16,1002,,,116,12,16,,,,13,5,484,473,477,477
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_17,1002,,,1,1,16,,,,12,6,502,484,478,478
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_18,1002,,,106,6,14,,,,12,8,503,498,500,500
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_19,1002,,,1,1,7,,,,5,4,511,507,506,506
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_2,1002,,,1,1,10,,,,6,5,498,473,452,452
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_20,1002,,,105,5,12,,,,10,8,475,473,477,477
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_21,1002,,,101,4,7,,,,5,5,487,478,470,470
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_22,1002,,,111,8,14,,,,11,5,495,491,488,488
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_23,1002,,,1,1,8,,,,5,5,443,439,434,434
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_24,1002,,,129,17,9,,,,6,5,477,461,449,449
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_25,1002,,,1,1,7,,,,4,4,490,488,484,484
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_26,1002,,,123,17,8,,,,5,5,488,487,470,470
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_27,1002,,,122,14,9,,,,6,5,533,495,479,479
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_28,1002,,,105,5,11,,,,8,6,497,494,490,490
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_29,1002,,,1,1,7,,,,4,4,511,508,507,507
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_3,1002,,,139,28,14,,,,11,8,497,482,464,464
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_30,1002,,,1,1,7,,,,4,4,479,474,471,471
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_4,1002,,,1,1,8,,,,6,4,448,443,443,443
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_5,1002,,,106,6,8,,,,6,5,501,499,,
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_6,1002,,,1,1,19,,,,16,11,445,437,444,444
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_7,1002,,,113,10,9,,,,5,5,485,482,480,480
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_8,1002,,,110,9,8,,,,5,5,480,477,474,474
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_9,1002,,,111,9,8,,,,5,5,486,481,475,475
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_1,1002,,,217,69,437,,,,103,58,426,355,695,695
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_10,1002,,,142,30,124,,,,57,40,354,327,397,397
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_11,1002,,,133,24,138,,,,48,32,359,336,428,428
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_12,1002,,,134,26,107,,,,38,26,311,293,359,359
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_13,1002,,,128,22,38,,,,30,22,340,326,375,375
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_14,1002,,,133,25,135,,,,47,33,315,295,383,383
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_15,1002,,,130,23,107,,,,39,27,334,318,394,394
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_16,1002,,,128,21,41,,,,32,23,317,304,317,317
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_17,1002,,,130,23,91,,,,33,25,317,305,314,314
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_18,1002,,,137,28,122,,,,44,30,331,310,399,399
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_19,1002,,,134,24,402,,,,120,27,450,314,678,678
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_2,1002,,,174,54,277,,,,75,55,393,359,561,561
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_20,1002,,,152,36,133,,,,60,41,358,327,406,406
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_21,1002,,,135,27,118,,,,41,29,325,306,383,383
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_22,1002,,,130,23,116,,,,42,29,317,298,373,373
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_23,1002,,,143,29,123,,,,48,32,336,309,393,393
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_24,1002,,,137,28,132,,,,43,30,319,299,374,374
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_25,1002,,,165,54,157,,,,65,52,366,343,422,422
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_26,1002,,,131,24,102,,,,37,27,324,310,378,378
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_27,1002,,,130,22,103,,,,37,26,299,283,304,304
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_28,1002,,,135,28,112,,,,45,37,354,340,392,392
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_29,1002,,,123,18,89,,,,31,22,313,299,360,360
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_3,1002,,,123,21,33,,,,27,20,304,295,301,301
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_30,1002,,,131,25,113,,,,42,34,346,333,411,411
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_4,1002,,,143,32,135,,,,50,34,327,301,390,390
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_5,1002,,,146,35,147,,,,48,36,323,304,387,387
