Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,1002,,0.553,0.297,0.2,0.516,,,0.671,0.395,,4.42,5.392,5.733,4.388
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,1002,,,0.566,0.354,0.266,,,0.592,0.373,,4.975,7.028,6.736,4.375
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,1002,,0.557,0.354,0.292,0.39,,,0.501,0.261,,5.656,5.168,5.991,3.104
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,1002,,0.377,0.283,0.157,0.359,,,0.599,0.342,,6.004,4.482,4.658,4.47
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,1002,,0.434,0.363,0.18,0.295,,,0.653,0.326,,5.614,4.023,4.145,3.058
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,1002,,0.359,0.423,0.285,0.343,,,0.48,0.4,,3.002,4.984,4.291,4.105
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,1002,,0.342,0.249,0.175,0.293,,,0.617,0.412,,6.123,2.825,4.018,4.565
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,1002,,0.415,0.131,0.192,0.324,,,0.71,0.283,,5.579,5.526,4.644,4.309
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,1002,,0.454,0.304,0.254,0.217,,,0.641,0.328,,5.175,6.467,4.953,4.209
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,1002,,0.542,0.333,0.204,0.217,,,0.6,0.259,,6.79,6.148,5.607,5.356
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,1002,,0.463,0.485,0.273,0.236,,,0.723,0.338,,5.995,4.973,4.359,4.582
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,1002,,0.505,0.52,0.195,0.324,,,0.61,0.289,,5.602,3.947,4.017,5.055
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,1002,,0.461,0.298,0.307,0.256,,,0.494,0.254,,6.083,4.952,4.47,4.498
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,1002,,0.666,0.298,0.157,0.235,,,0.656,0.223,,5.65,4.638,5.073,4.88
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,1002,,0.308,0.3,0.249,0.212,,,0.664,0.319,,6.132,6.842,5.066,3.273
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,1002,,,0.271,0.18,0.283,,,0.598,0.345,,5.281,4.632,4.858,4.241
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,1002,,0.539,0.332,0.139,0.218,,,0.345,0.364,,5.617,5.185,4.023,3.317
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,1002,,0.342,0.236,0.152,0.241,,,0.518,0.309,,5.135,4.216,4.857,4.675
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,1002,,0.462,0.309,0.224,0.35,,,0.492,0.24,,6.505,3.516,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,1002,,,0.306,0.256,0.754,,,0.69,0.298,,4.071,5.766,5.003,4.848
