Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,1002,,0.0,0.18129074279151314,0.18129073376076368,0.18129074133349163,,,0.18127533572441404,0.18127533572441404,,0.18129074279151314,0.18129074279151314,0.18129074279151314,0.18129074279151314
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,1002,,,0.009000000000000001,0.009000000000000001,0.009000000000000001,,,1.0,1.0,,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,1002,,0.0,0.008,0.008,0.008,,,0.008,0.008,,0.008,0.008,0.008,0.008
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,1002,,0.0,6.0E-4,6.0E-4,6.0E-4,,,0.0,0.0,,6.0E-4,6.0E-4,6.0E-4,6.0E-4
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,1002,,0.0,0.009999999999999998,0.009999999999999998,0.009999999999999998,,,0.009999999999999998,0.009999999999999998,,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,1002,,0.0,0.003054524917445744,0.0030545244978139063,0.003054524863232563,,,0.0,0.0,,0.003054524917445744,0.003054524917445744,0.003054524917445744,0.003054524917445744
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,1002,,0.0,0.001,0.001,0.001,,,0.001,0.001,,0.001,0.001,0.001,0.001
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,1002,,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,,,0.009000000000000001,0.009000000000000001,,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,1002,,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
