Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
simple,3,,,1,1,3,,,,2,2,1,1,1,1
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_1,3,,,1308,1,10,,,,7,3,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_20,3,,,,1,19,,,,12,7,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_5,3,,,1375,1,19,,,,12,7,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_1,3,,,1309,1,74,,,,31,4,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_20,3,,,1375,1,245,,,,70,10,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_5,3,,,1375,1,232,,,,61,10,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_1,3,,,1307,1,5,,,,4,2,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_20,3,,,,1,,,,,10,6,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_5,3,,,,1,424,,,,10,6,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_1,3,,,1375,1,147,,,,57,6,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_20,3,,,1375,1,162,,,,62,7,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_5,3,,,1375,1,162,,,,62,7,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_1,3,,,1308,1,12,,,,9,3,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_20,3,,,,1,24,,,,17,7,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_5,3,,,1375,1,22,,,,15,7,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_1,3,,,1308,1,11,,,,8,3,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_20,3,,,,1,21,,,,14,7,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_5,3,,,1375,1,20,,,,13,7,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_1,3,,,1311,1,161,,,,68,4,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_20,3,,,1375,1,351,,,,83,13,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_5,3,,,1375,1,256,,,,66,5,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_0_branch_70_numStates_400_numComp_1,3,,,1308,1,10,,,,7,3,401,401,401,401
simple_actionTree_sinkP_1_initP_0_branch_70_numStates_400_numComp_20,3,,,,1,20,,,,13,7,8001,8001,8001,8001
simple_actionTree_sinkP_1_initP_0_branch_70_numStates_400_numComp_5,3,,,,1,20,,,,13,7,2001,2001,2001,2001
simple_actionTree_sinkP_1_initP_1_branch_100_numStates_400_numComp_1,3,,,1309,1,,,,,5,3,2684,3,6,6
simple_actionTree_sinkP_1_initP_1_branch_100_numStates_400_numComp_20,3,,,,1,,,,,,10,,401,744,744
simple_actionTree_sinkP_1_initP_1_branch_100_numStates_400_numComp_5,3,,,1375,1,759,,,,497,10,8256,66,738,738
simple_actionTree_sinkP_1_initP_1_branch_10_numStates_400_numComp_1,3,,,1311,1,74,,,,30,4,2686,4,72,72
simple_actionTree_sinkP_1_initP_1_branch_10_numStates_400_numComp_20,3,,,1375,1,1302,,,,501,16,38500,862,,
simple_actionTree_sinkP_1_initP_1_branch_10_numStates_400_numComp_5,3,,,1375,1,1235,,,,501,16,8262,139,2125,2125
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_1,3,,,1307,1,7,,,,6,2,2682,2,7,7
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_20,3,,,,1,,,,,,9,,355,,
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_5,3,,,,1,,,,,497,9,,55,,
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_1,3,,,1375,1,144,,,,55,6,2751,7,142,142
