Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
simple,3,0.13,0.157,0.039,0.013,0.029,0.058,0.066,0.051,0.026,0.047,0.074,0.054,0.048,0.065
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_1,3,2.703,0.608,25.244,0.678,0.931,,,1.599,2.496,,1.421,3.809,4.247,4.06
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_20,3,34.993,13.302,,34.586,16.573,,,,,,28.319,53.766,51.942,49.478
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_5,3,9.016,2.006,105.337,1.828,2.276,,,11.507,13.779,,6.319,11.743,13.307,13.932
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_1,3,0.514,0.313,1.703,0.184,0.219,,,0.314,0.374,,0.989,2.015,2.375,1.809
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_20,3,5.321,1.938,54.52,1.619,6.884,,,11.965,25.969,,18.836,32.216,38.259,34.544
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_5,3,2.052,0.54,15.162,0.403,2.064,,,2.098,1.983,,4.626,8.633,8.443,8.552
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_1,3,3.84,0.995,42.082,0.807,1.019,,,4.049,2.788,,2.096,4.314,4.611,5.051
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_20,3,109.451,35.35,,30.2,,,,,,,43.428,82.8,84.561,85.625
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_5,3,20.227,4.815,,4.847,30.336,,,52.114,56.197,,8.251,18.447,17.297,13.027
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_1,3,0.359,0.134,0.438,0.112,0.298,,0.242,0.138,0.197,0.194,1.701,2.253,1.574,1.102
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_20,3,4.188,1.157,17.507,1.56,2.248,,,3.107,3.608,,26.702,27.773,32.149,23.966
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_5,3,1.04,0.362,2.281,0.232,0.64,,,0.721,0.723,,7.483,7.919,9.055,6.398
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_1,3,0.96,0.456,4.625,0.214,0.311,,,1.377,1.08,,2.129,2.418,2.774,2.459
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_20,3,14.396,3.01,,4.007,4.858,,,89.323,53.311,,30.712,34.3,42.805,37.129
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_5,3,3.395,0.735,48.772,1.102,1.182,,,5.987,5.461,,9.49,9.261,11.18,10.006
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_1,3,1.497,0.339,14.352,0.251,0.652,,,1.553,1.243,,2.716,2.804,2.649,2.974
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_20,3,24.456,7.001,,5.064,8.247,,,,,,35.525,36.705,38.432,39.801
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_5,3,5.611,1.195,83.715,1.1,1.379,,,4.658,12.823,,10.978,10.867,10.821,13.939
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_1,3,0.474,0.19,2.228,0.111,0.272,,,0.196,0.381,,1.703,1.73,1.959,1.84
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_20,3,4.383,1.754,66.765,1.247,5.869,,,11.372,16.185,,28.523,30.241,32.606,30.596
