Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
simple,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_100_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_20,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_10_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_20,3,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_200_numStates_400_numComp_5,3,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_20,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_2_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_30_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_50_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_20,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_5_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_70_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_70_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_0_branch_70_numStates_400_numComp_5,3,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_100_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_100_numStates_400_numComp_20,3,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_100_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_10_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_10_numStates_400_numComp_20,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
simple_actionTree_sinkP_1_initP_1_branch_10_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_20,3,,,,0.0,,,,,,,,0.0,,
simple_actionTree_sinkP_1_initP_1_branch_200_numStates_400_numComp_5,3,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,,
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_20,3,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_2_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_20,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_5,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_1,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_20,3,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_5,3,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
