Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
simple, 3, 3, 1, 1, 1, 1, 2, 0.5, 1, 0, , , , , 1, 1, 1, 1.0, 1.0
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_20, 2224, 4204, 1, 2, 2221, 10, 3, 0.0, 4201, 0, , , , , 21, 61, 61, 61.0, 61.0
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_4, 448, 844, 1, 2, 445, 10, 3, 0.0, 841, 0, , , , , 5, 13, 13, 13.0, 13.0
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_80, 8884, 16804, 1, 2, 8881, 10, 3, 0.0, 16801, 0, , , , , 81, 241, 241, 241.0, 241.0
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_1, 425, 824, 1, 2, 422, 20, 3, 0.0, 821, 0, , , , , 2, 4, 4, 4.0, 4.0
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_20, 8424, 16404, 1, 2, 8421, 20, 3, 0.0, 16401, 0, , , , , 21, 61, 61, 61.0, 61.0
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_5, 2109, 4104, 1, 2, 2106, 20, 3, 0.0, 4101, 0, , , , , 6, 16, 16, 16.0, 16.0
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_125, 3879, 5754, 1, 2, 3876, 2, 3, 0.0, 5751, 0, , , , , 126, 626, 626, 626.0, 626.0
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_25, 779, 1154, 1, 2, 776, 2, 3, 0.0, 1151, 0, , , , , 26, 126, 126, 126.0, 126.0
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_500, 15504, 23004, 1, 2, 15501, 2, 3, 0.0, 23001, 0, , , , , 501, 2501, 2501, 2501.0, 2501.0
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_1, 405, 804, 1, 2, 402, 400, 3, 0.0, 801, 0, , , , , 2, 3, 3, 3.0, 3.0
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_20, 8024, 16004, 1, 2, 8021, 400, 3, 0.0, 16001, 0, , , , , 21, 41, 41, 41.0, 41.0
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_5, 2009, 4004, 1, 2, 2006, 400, 3, 0.0, 4001, 0, , , , , 6, 11, 11, 11.0, 11.0
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_16, 500, 884, 1, 2, 497, 5, 3, 0.0, 881, 0, , , , , 17, 49, 49, 49.0, 49.0
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_320, 9924, 17604, 1, 2, 9921, 5, 3, 0.0, 17601, 0, , , , , 321, 961, 961, 961.0, 961.0
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_80, 2484, 4404, 1, 2, 2481, 5, 3, 0.0, 4401, 0, , , , , 81, 241, 241, 241.0, 241.0
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_20, 2224, 4204, 1, 2, 2221, 10, 3, 0.01, 4201, 0, , , , , 21, 61, 61, 61.0, 61.0
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_4, 448, 844, 1, 2, 445, 10, 3, 0.01, 841, 0, , , , , 5, 13, 13, 13.0, 13.0
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_80, 8884, 16804, 1, 2, 8881, 10, 3, 0.01, 16801, 0, , , , , 81, 241, 241, 241.0, 241.0
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_1, 425, 824, 1, 2, 422, 20, 3, 0.01, 821, 0, , , , , 2, 4, 4, 4.0, 4.0
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_20, 8424, 16404, 1, 2, 8421, 20, 3, 0.01, 16401, 0, , , , , 21, 61, 61, 61.0, 61.0
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_5, 2109, 4104, 1, 2, 2106, 20, 3, 0.01, 4101, 0, , , , , 6, 16, 16, 16.0, 16.0
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_125, 3879, 5754, 1, 2, 3876, 2, 3, 0.01, 5751, 0, , , , , 126, 626, 626, 626.0, 626.0
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_25, 779, 1154, 1, 2, 776, 2, 3, 0.01, 1151, 0, , , , , 26, 126, 126, 126.0, 126.0
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_500, 15504, 23004, 1, 2, 15501, 2, 3, 0.01, 23001, 0, , , , , 501, 2501, 2501, 2501.0, 2501.0
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_1, 405, 804, 1, 2, 402, 400, 3, 0.01, 801, 0, , , , , 2, 3, 3, 3.0, 3.0
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_20, 8024, 16004, 1, 2, 8021, 400, 3, 0.01, 16001, 0, , , , , 21, 41, 41, 41.0, 41.0
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_5, 2009, 4004, 1, 2, 2006, 400, 3, 0.01, 4001, 0, , , , , 6, 11, 11, 11.0, 11.0
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_16, 500, 884, 1, 2, 497, 5, 3, 0.01, 881, 0, , , , , 17, 49, 49, 49.0, 49.0
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_320, 9924, 17604, 1, 2, 9921, 5, 3, 0.01, 17601, 0, , , , , 321, 961, 961, 961.0, 961.0
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_80, 2484, 4404, 1, 2, 2481, 5, 3, 0.01, 4401, 0, , , , , 81, 241, 241, 241.0, 241.0
