Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
simple,3,,,1,1,3,,,,2,2,1,1,1,1
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_20,3,,,61,60,97,,,,62,61,61,61,52,52
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_4,3,,,13,12,16,,,,14,13,13,13,20,20
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_80,3,,,241,240,277,,,,242,241,241,241,172,172
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_1,3,,,4,3,7,,,,5,4,4,4,7,7
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_20,3,,,61,60,97,,,,62,61,61,61,52,52
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_5,3,,,16,15,20,,,,17,16,16,16,22,22
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_125,3,,,626,625,1097,,,,627,626,626,626,262,262
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_25,3,,,126,125,162,,,,127,126,126,126,62,62
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_500,3,,,1375,1375,3256,,,,2502,2501,2501,2501,1012,1012
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_1,3,,,3,2,5,,,,4,3,3,3,5,5
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_20,3,,,41,40,52,,,,42,41,41,41,78,78
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_5,3,,,11,10,14,,,,12,11,11,11,21,21
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_16,3,,,49,48,85,,,,50,49,49,49,44,44
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_320,3,,,961,960,1716,,,,962,961,961,961,652,652
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_80,3,,,241,240,277,,,,242,241,241,241,172,172
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_20,3,,,77,70,140,,,,79,71,241,181,321,321
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_4,3,,,24,19,38,,,,25,20,49,37,65,65
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_80,3,,,267,255,519,,,,270,258,871,724,1281,1281
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_1,3,,,13,8,18,,,,14,9,13,10,17,17
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_20,3,,,77,70,140,,,,79,71,241,181,321,321
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_5,3,,,27,22,44,,,,28,23,61,46,81,81
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_125,3,,,678,662,2057,,,,696,677,2555,2538,3251,3251
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_25,3,,,158,149,463,,,,160,151,450,441,651,651
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_500,3,,,1375,1361,7954,,,,2663,2616,14805,14729,13001,13001
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_1,3,,,9,4,12,,,,9,5,9,6,11,11
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_20,3,,,51,45,93,,,,52,46,161,101,201,201
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_5,3,,,18,13,30,,,,19,14,41,26,51,51
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_16,3,,,64,58,114,,,,65,59,193,145,257,257
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_320,3,,,996,979,3027,,,,1020,995,3648,3460,5121,5121
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_80,3,,,267,255,519,,,,270,258,871,724,1281,1281
