Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
simple,3,0.173,0.099,0.013,0.049,0.02,0.057,0.044,0.026,0.026,0.041,0.112,0.056,0.064,0.07
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_20,3,0.718,0.783,0.27,0.656,0.238,,,1.351,1.522,,0.724,0.731,0.894,0.874
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_4,3,0.279,0.162,0.153,0.175,0.162,,,0.261,0.311,,0.324,0.341,0.275,0.249
simple_probTree_sinkP_1_initP_0_branch_10_depth_2_numComp_80,3,3.99,3.009,3.891,4.466,2.511,,,6.6,10.607,,2.876,3.285,3.599,3.039
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_1,3,0.247,0.47,0.109,0.165,0.052,,0.27,0.147,0.275,0.298,0.21,0.336,0.263,0.298
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_20,3,2.809,1.642,1.531,1.66,1.047,,,2.745,3.263,,1.648,1.757,1.643,2.044
simple_probTree_sinkP_1_initP_0_branch_20_depth_2_numComp_5,3,0.659,0.752,0.306,0.364,0.237,,,0.817,0.77,,0.655,0.626,0.563,0.576
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_125,3,2.562,2.316,2.997,3.505,2.605,,,2.371,4.618,,2.649,2.567,2.453,3.171
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_25,3,0.393,0.451,0.376,0.386,0.269,,,0.282,0.526,,0.739,0.599,0.597,0.702
simple_probTree_sinkP_1_initP_0_branch_2_depth_4_numComp_500,3,21.717,17.645,31.981,35.34,41.145,,,32.024,40.173,,24.094,19.189,17.665,25.409
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_1,3,0.217,0.186,0.133,0.136,0.157,,0.317,0.188,0.137,0.426,0.267,0.345,0.315,0.356
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_20,3,2.715,2.373,0.827,0.673,1.329,,,2.163,2.099,,1.733,2.068,1.85,2.294
simple_probTree_sinkP_1_initP_0_branch_400_depth_1_numComp_5,3,0.693,0.742,0.146,0.165,0.429,,,0.5,0.516,,0.605,0.706,0.419,0.549
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_16,3,0.375,0.383,0.112,0.2,0.282,,,0.314,0.377,,0.544,0.486,0.329,0.422
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_320,3,7.176,6.383,12.135,14.987,16.819,,,20.718,29.323,,7.643,7.545,7.803,8.425
simple_probTree_sinkP_1_initP_0_branch_5_depth_2_numComp_80,3,1.123,1.3,1.281,1.381,1.184,,,1.379,2.671,,1.32,1.584,1.313,1.331
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_20,3,0.978,0.741,0.538,0.622,0.377,,,0.862,1.364,,0.818,0.819,0.847,0.706
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_4,3,0.223,0.219,0.193,0.157,0.127,,,0.303,0.312,,0.293,0.292,0.337,0.3
simple_probTree_sinkP_1_initP_1_branch_10_depth_2_numComp_80,3,4.406,2.877,5.075,4.639,3.012,,,6.548,9.452,,2.969,3.519,3.131,2.751
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_1,3,0.194,0.31,0.269,0.104,0.184,,,0.143,0.261,,0.333,0.247,0.301,0.32
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_20,3,2.756,2.055,1.42,0.897,1.033,,,2.224,3.961,,1.835,1.791,1.832,2.454
simple_probTree_sinkP_1_initP_1_branch_20_depth_2_numComp_5,3,0.497,0.585,0.341,0.261,0.333,,,0.469,1.053,,0.597,0.685,0.692,0.509
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_125,3,2.212,2.112,4.686,2.328,3.234,,,,,,2.517,2.712,2.36,3.359
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_25,3,0.557,0.551,0.592,0.276,0.507,,,,,,0.63,0.599,0.516,0.726
simple_probTree_sinkP_1_initP_1_branch_2_depth_4_numComp_500,3,23.824,14.24,31.565,42.081,78.897,,,,,,19.546,21.926,21.081,26.099
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_1,3,0.324,0.149,0.154,0.239,0.107,,,0.224,0.349,,0.362,0.321,0.247,0.282
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_20,3,1.796,1.902,0.82,1.392,0.754,,,2.236,3.361,,1.916,2.047,1.848,2.242
simple_probTree_sinkP_1_initP_1_branch_400_depth_1_numComp_5,3,0.811,0.65,0.28,0.385,0.24,,,0.44,0.816,,0.638,0.645,0.646,0.78
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_16,3,0.317,0.256,0.118,0.236,0.149,,,0.281,0.501,,0.446,0.434,0.461,0.551
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_320,3,7.88,5.497,10.754,16.54,15.217,,,23.196,31.91,,8.316,7.787,8.744,10.249
simple_probTree_sinkP_1_initP_1_branch_5_depth_2_numComp_80,3,1.191,0.631,1.78,1.297,1.272,,,2.457,1.924,,1.632,1.676,1.437,2.018
