Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_1, 10002, 29803, 1, 5009, 4992, 100, 8, 0.01, 17277, 4944, 1, 1, 1.0, 1.0, 4955, 38, 1, 1.0074672048435924, 3, 3, 3.0, 3.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_10, 10002, 29803, 1, 5080, 4921, 100, 7, 0.01, 17189, 4872, 1, 1, 1.0, 1.0, 4903, 19, 1, 1.0036712217009993, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_11, 10002, 29803, 1, 5056, 4945, 100, 7, 0.01, 17270, 4891, 1, 1, 1.0, 1.0, 4943, 2, 1, 1.0004046125834514, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_12, 10002, 29803, 1, 5013, 4988, 100, 8, 0.01, 17186, 4941, 1, 1, 1.0, 1.0, 4957, 32, 1, 1.006253782529756, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_13, 10002, 29803, 1, 5020, 4981, 100, 7, 0.01, 17211, 4934, 1, 1, 1.0, 1.0, 4973, 9, 1, 1.0016086869093104, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_14, 10002, 29803, 1, 5026, 4975, 100, 7, 0.01, 17154, 4921, 1, 1, 1.0, 1.0, 4972, 4, 1, 1.000603378921963, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_15, 10002, 29803, 1, 4955, 5046, 100, 8, 0.01, 17106, 4995, 1, 1, 1.0, 1.0, 5046, 1, 1, 1.0, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_16, 10002, 29803, 1, 4940, 5061, 100, 8, 0.01, 17257, 5002, 1, 1, 1.0, 1.0, 5011, 51, 1, 1.0099780482937537, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_17, 10002, 29803, 1, 5033, 4968, 100, 7, 0.01, 17195, 4908, 1, 1, 1.0, 1.0, 4918, 51, 1, 1.0101667344448964, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_18, 10002, 29803, 1, 5005, 4996, 100, 8, 0.01, 17160, 4949, 1, 1, 1.0, 1.0, 4976, 18, 1, 1.0040192926045015, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_19, 10002, 29803, 1, 5114, 4887, 100, 7, 0.01, 17244, 4834, 1, 1, 1.0, 1.0, 4864, 19, 1, 1.0047286184210527, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_2, 10002, 29803, 1, 4881, 5120, 100, 8, 0.01, 17220, 5072, 1, 1, 1.0, 1.0, 5087, 34, 1, 1.0064871240416748, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_20, 10002, 29803, 1, 5030, 4971, 100, 8, 0.01, 17133, 4916, 1, 1, 1.0, 1.0, 4930, 41, 1, 1.008316430020284, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_3, 10002, 29803, 1, 5048, 4953, 100, 7, 0.01, 17113, 4900, 1, 1, 1.0, 1.0, 4913, 41, 1, 1.0081416649704864, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_4, 10002, 29803, 1, 5031, 4970, 100, 7, 0.01, 17205, 4917, 1, 1, 1.0, 1.0, 4930, 41, 1, 1.0081135902636917, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_5, 10002, 29803, 1, 4989, 5012, 100, 7, 0.01, 17216, 4965, 1, 1, 1.0, 1.0, 4988, 25, 1, 1.0048115477145148, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_6, 10002, 29803, 1, 4994, 5007, 100, 8, 0.01, 17171, 4953, 1, 1, 1.0, 1.0, 4977, 31, 1, 1.0060277275467149, , , , 
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_7, 10002, 29803, 1, 5042, 4959, 100, 7, 0.01, 17230, 4906, 1, 1, 1.0, 1.0, 4952, 7, 1, 1.0014135702746365, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_8, 10002, 29803, 1, 5146, 4855, 100, 8, 0.01, 17206, 4797, 1, 1, 1.0, 1.0, 4842, 11, 1, 1.0026848409748037, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_9, 10002, 29803, 1, 4968, 5033, 100, 8, 0.01, 17226, 4976, 1, 1, 1.0, 1.0, 5008, 25, 1, 1.0049920127795526, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1, 10002, 28003, 1, 4930, 5071, 10, 8, 0.01, 16287, 4521, 1, 1, 1.0, 1.0, 4616, 456, 1, 1.0985701906412477, 4, 4, 4.0, 4.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10, 10002, 28003, 1, 5002, 4999, 10, 7, 0.01, 16351, 4434, 1, 1, 1.0, 1.0, 4546, 454, 1, 1.0996480422349317, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11, 10002, 28003, 1, 5025, 4976, 10, 8, 0.01, 16344, 4456, 1, 1, 1.0, 1.0, 4862, 114, 1, 1.0234471410941999, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12, 10002, 28003, 1, 4973, 5028, 10, 8, 0.01, 16304, 4536, 1, 1, 1.0, 1.0, 4970, 56, 1, 1.0116700201207243, 3, 3, 3.0, 3.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13, 10002, 28003, 1, 5070, 4931, 10, 8, 0.01, 16292, 4421, 1, 1, 1.0, 1.0, 4547, 385, 1, 1.0844512865625686, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14, 10002, 28003, 1, 5031, 4970, 10, 7, 0.01, 16235, 4463, 1, 1, 1.0, 1.0, 4582, 389, 1, 1.084679179397643, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15, 10002, 28003, 1, 4964, 5037, 10, 7, 0.01, 16270, 4525, 1, 1, 1.0, 1.0, 4638, 400, 1, 1.0860284605433377, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16, 10002, 28003, 1, 4970, 5031, 10, 8, 0.01, 16289, 4500, 1, 1, 1.0, 1.0, 4694, 338, 1, 1.0717937792927141, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17, 10002, 28003, 1, 4945, 5056, 10, 7, 0.01, 16350, 4494, 1, 1, 1.0, 1.0, 4603, 454, 1, 1.098414077775364, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18, 10002, 28003, 1, 4985, 5016, 10, 7, 0.01, 16225, 4493, 1, 1, 1.0, 1.0, 4618, 399, 1, 1.0861844954525768, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19, 10002, 28003, 1, 4941, 5060, 10, 8, 0.01, 16282, 4531, 1, 1, 1.0, 1.0, 4661, 400, 1, 1.0856039476507187, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2, 10002, 28003, 1, 5041, 4960, 10, 8, 0.01, 16203, 4446, 1, 1, 1.0, 1.0, 4583, 373, 1, 1.0822605280384028, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20, 10002, 28003, 1, 4968, 5033, 10, 8, 0.01, 16176, 4507, 1, 1, 1.0, 1.0, 4967, 34, 1, 1.0132876988121602, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_3, 10002, 28003, 1, 4960, 5041, 10, 8, 0.01, 16294, 4507, 1, 1, 1.0, 1.0, 4620, 422, 1, 1.0911255411255412, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_4, 10002, 28003, 1, 4986, 5015, 10, 8, 0.01, 16303, 4466, 1, 1, 1.0, 1.0, 4809, 207, 1, 1.0428363485132044, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_5, 10002, 28003, 1, 4950, 5051, 10, 8, 0.01, 16295, 4512, 1, 1, 1.0, 1.0, 4847, 201, 1, 1.0420878894161336, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_6, 10002, 28003, 1, 4940, 5061, 10, 8, 0.01, 16360, 4513, 1, 1, 1.0, 1.0, 4873, 189, 1, 1.0385799302277858, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_7, 10002, 28003, 1, 5043, 4958, 10, 8, 0.01, 16253, 4426, 1, 1, 1.0, 1.0, 4793, 166, 1, 1.0344252034216566, 2, 2, 2.0, 2.0
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_8, 10002, 28003, 1, 4910, 5091, 10, 8, 0.01, 16226, 4548, 1, 1, 1.0, 1.0, 4867, 220, 1, 1.046024244914732, , , , 
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_9, 10002, 28003, 1, 4854, 5147, 10, 8, 0.01, 16226, 4620, 1, 1, 1.0, 1.0, 4909, 239, 1, 1.0484823793033204, , , , 
