Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_1,10002,,,126,15,25,124,5,,,4,4,28,127,4985,4972,,,4957,4957,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_10,10002,,,109,8,8,107,6,,,4,4,10,109,4911,4909,,,4905,4905,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_11,10002,,,1,1,1,1,5,,,4,4,1,1,4946,4945,,,4946,4946,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_12,10002,,,113,10,10,109,6,,,4,4,14,113,4971,4966,,,4959,4959,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_13,10002,,,1,1,1,1,,,,3,3,1,1,4977,4975,,,4975,4975,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_14,10002,,,111,7,7,106,,,,3,3,12,111,4981,4975,,,4974,4974,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_15,10002,,,1,1,1,1,,,,3,3,1,1,5046,5046,,,5046,5046,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_16,10002,,,122,15,14,113,,,,4,4,23,122,5038,5026,,,5013,5013,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_17,10002,,,121,13,13,112,,,,3,3,22,121,4944,4932,,,4920,4920,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_18,10002,,,,,5,104,,,,6,6,6,105,4986,4983,,,,,,
