Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_1,10002,,3.61,4.76,3.207,8.157,6.01,2.492,,1.95,1.968,,7.541,4.726,16.325,15.975,,,21.331,17.465,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_10,10002,,2.293,3.33,2.057,5.949,4.828,2.045,,1.794,1.78,,4.429,3.914,15.349,16.578,,,19.51,15.302,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_11,10002,,1.749,2.077,1.646,3.06,2.243,1.838,,1.598,1.456,,2.388,2.045,16.44,17.349,,,16.493,15.322,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_12,10002,,2.185,3.469,1.93,4.77,4.629,2.536,,1.801,2.196,,5.495,3.591,18.47,20.119,,,17.836,14.609,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_13,10002,,1.774,1.924,1.849,3.234,2.363,,,1.409,1.807,,2.726,1.817,18.521,18.828,,,15.906,15.486,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_14,10002,5.508,2.207,2.568,2.444,3.788,4.378,,,1.554,1.799,,4.339,4.154,18.502,19.428,,,16.721,15.339,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_15,10002,5.942,2.416,1.748,2.117,3.014,2.255,,,1.845,2.075,,3.648,2.148,18.358,19.23,,,17.079,15.719,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_16,10002,6.535,2.474,2.692,1.728,5.924,4.956,,,2.122,2.153,,5.637,5.378,18.113,19.699,,,18.413,17.337,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_17,10002,6.197,2.193,2.926,1.97,4.527,5.215,,,1.672,1.839,,5.768,3.956,17.215,17.595,,,16.266,18.629,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_18,10002,6.347,3.614,,,3.541,4.142,,,1.888,1.824,,3.883,3.75,17.879,17.175,,,,,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_19,10002,4.692,,,,2.227,2.041,,,1.459,1.695,,2.506,1.842,17.126,15.643,,,15.557,19.156,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_2,10002,5.205,,,,4.038,5.37,,,2.102,2.115,,3.994,4.53,17.014,15.79,,,18.248,19.63,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_20,10002,5.494,,,,10.002,4.461,,,2.095,1.854,,11.696,4.933,16.078,15.835,,,19.772,19.184,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_3,10002,6.085,,,,4.22,2.444,,,2.006,2.401,,3.046,2.012,18.376,16.678,,,18.875,17.147,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_4,10002,,,,,3.147,1.979,,,1.793,2.335,,3.139,2.177,18.599,18.259,,,19.941,16.166,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_5,10002,5.107,,,,2.425,2.071,,,1.781,1.515,,2.488,2.087,19.802,17.79,,,18.763,14.678,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_6,10002,,,,,2.43,2.1,,,1.752,1.508,,2.23,2.131,18.606,18.228,,,18.472,14.721,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_7,10002,,,,,3.633,4.204,,,1.546,1.746,,3.914,3.891,17.879,19.196,,,18.037,15.612,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_8,10002,,,,,4.215,4.682,,,1.389,1.451,,4.078,4.542,17.408,18.923,,,15.276,14.725,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_9,10002,,,,,3.401,4.181,,,1.828,1.717,,3.45,4.135,16.593,,,,17.474,15.717,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1,10002,5.806,,,,6.384,4.528,,,1.7,2.004,,7.435,4.473,16.354,20.532,,,15.75,14.621,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10,10002,5.05,,,,3.118,2.112,,,2.191,2.536,,2.774,2.256,16.642,19.473,,,18.565,13.804,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11,10002,5.56,,,,3.042,3.785,,,1.868,1.817,,2.706,3.451,16.406,19.441,,,17.222,15.219,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12,10002,4.997,,,,3.681,3.779,,,1.574,1.907,,3.195,3.693,18.936,16.535,,,17.372,14.641,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13,10002,,,,,2.995,2.025,,,1.609,2.107,,2.506,1.754,17.78,14.972,,,16.072,15.708,,
