Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_1,10002,,0.0,0.010000000000000004,0.010000000000000004,0.009999377782458223,0.009999377782458223,0.010000000000000004,,0.010000000000000002,0.010000000000000002,,0.00999949262177218,0.00999949262177218,0.010000000000000004,0.010000000000000004,,,0.010000000000000004,0.010000000000000004,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_10,10002,,0.0,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,,0.010000000000000002,0.010000000000000002,,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,,,0.010000000000000004,0.010000000000000004,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_11,10002,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_12,10002,,0.0,0.010000000000000002,0.010000000000000002,0.009999995679999273,0.009999995679999273,0.010000000000000002,,0.010000000000000002,0.010000000000000002,,0.009999543663467728,0.009999543663467728,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_13,10002,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_14,10002,0.0,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_15,10002,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_16,10002,0.0,0.0,0.010000000000000002,0.010000000000000002,0.009999662448109079,0.009999662448109079,,,0.010000000000000002,0.010000000000000002,,0.00999986901801308,0.00999986901801308,0.01,0.01,,,0.01,0.01,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_17,10002,0.0,0.0,0.010000000000000002,0.010000000000000002,0.009999981507337448,0.009999981507337448,,,0.010000000000000002,0.010000000000000002,,0.009999999999999195,0.009999999999999195,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_100_Type-tree_MinTransProb_0.1_Model_18,10002,0.0,0.0,,,0.18800000000000003,0.18800000000000003,,,0.18800000000000003,0.18800000000000003,,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,,,,,,
