Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
ManyMECs_10, 32, 62, 1, 1, 30, 2, 2, 0.4, 30, 10, 3, 3, 3.0, 3.0, 10, 20, 20, 20.0, 20.0
ManyMECs_100, 302, 602, 1, 1, 300, 2, 2, 0.4, 300, 100, 3, 3, 3.0, 3.0, 100, 200, 200, 200.0, 200.0
ManyMECs_1000, 3002, 6002, 1, 1, 3000, 2, 2, 0.4, 3000, 1000, 3, 3, 3.0, 3.0, 1000, 2000, 2000, 2000.0, 2000.0
ManyMECs_200, 602, 1202, 1, 1, 600, 2, 2, 0.4, 600, 200, 3, 3, 3.0, 3.0, 200, 400, 400, 400.0, 400.0
ManyMECs_300, 902, 1802, 1, 1, 900, 2, 2, 0.4, 900, 300, 3, 3, 3.0, 3.0, 300, 600, 600, 600.0, 600.0
ManyMECs_400, 1202, 2402, 1, 1, 1200, 2, 2, 0.4, 1200, 400, 3, 3, 3.0, 3.0, 400, 800, 800, 800.0, 800.0
ManyMECs_50, 152, 302, 1, 1, 150, 2, 2, 0.4, 150, 50, 3, 3, 3.0, 3.0, 50, 100, 100, 100.0, 100.0
ManyMECs_500, 1502, 3002, 1, 1, 1500, 2, 2, 0.4, 1500, 500, 3, 3, 3.0, 3.0, 500, 1000, 1000, 1000.0, 1000.0
ManyMECs_600, 1802, 3602, 1, 1, 1800, 2, 2, 0.4, 1800, 600, 3, 3, 3.0, 3.0, 600, 1200, 1200, 1200.0, 1200.0
ManyMECs_700, 2102, 4202, 1, 1, 2100, 2, 2, 0.4, 2100, 700, 3, 3, 3.0, 3.0, 700, 1400, 1400, 1400.0, 1400.0
ManyMECs_800, 2402, 4802, 1, 1, 2400, 2, 2, 0.4, 2400, 800, 3, 3, 3.0, 3.0, 800, 1600, 1600, 1600.0, 1600.0
ManyMECs_900, 2702, 5402, 1, 1, 2700, 2, 2, 0.4, 2700, 900, 3, 3, 3.0, 3.0, 900, 1800, 1800, 1800.0, 1800.0
