Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,OVI_100_opt,QP_G,QP_G_T,TBVI_100,TBVI_100_DTMC,TBVI_100_LP,TGBVI_100,TGBVI_100_DTMC,TGBVI_100_LP,TOVI_100,TOVI_100_DTMC,TOVI_100_LP,TOVI_100_opt,TOVI_100_opt_DTMC,TOVI_100_opt_LP
ManyMECs_10,32,0.133,0.269,0.325,0.304,0.327,0.302,0.166,0.248,0.425,0.497,0.71,0.379,0.442,0.625,0.24,0.146,0.277,0.166,0.108,0.191
ManyMECs_100,302,0.491,0.651,5.194,5.261,3.081,2.624,0.788,1.187,1.704,2.231,3.275,3.114,2.266,3.601,1.066,0.579,1.105,0.877,0.639,1.066
ManyMECs_1000,3002,6.772,7.557,,,115.226,102.323,7.796,10.144,15.645,16.887,24.901,38.18,47.758,50.647,9.65,6.277,12.09,11.415,7.229,12.244
ManyMECs_200,602,1.059,1.607,9.556,8.834,6.3,6.513,1.316,1.954,3.492,2.721,3.575,5.581,2.966,5.983,2.043,0.754,2.228,2.265,0.851,2.204
ManyMECs_300,902,1.481,1.666,19.561,19.403,10.903,9.709,2.105,2.902,4.875,4.353,6.165,6.95,8.164,7.464,2.894,1.407,3.069,2.842,1.335,3.893
ManyMECs_400,1202,1.907,2.361,35.655,31.656,15.564,15.521,2.706,3.901,6.419,6.806,6.77,9.771,11.774,14.384,3.725,2.271,5.136,4.499,2.098,4.624
ManyMECs_50,152,0.331,0.442,1.222,2.275,1.847,1.563,0.443,0.621,1.154,1.362,1.978,1.743,1.447,2.021,0.566,0.318,0.732,0.705,0.33,0.686
ManyMECs_500,1502,2.882,3.889,63.897,47.25,30.565,29.499,3.483,4.643,6.587,8.414,10.924,13.503,15.425,17.787,4.528,2.721,5.706,5.192,2.387,5.655
ManyMECs_600,1802,3.075,3.729,76.612,69.858,40.378,46.372,4.456,5.624,9.063,9.09,13.203,16.775,20.244,23.322,6.209,2.917,6.983,5.868,2.277,5.566
ManyMECs_700,2102,3.513,5.081,,105.521,56.38,65.306,5.477,6.292,10.906,10.817,13.632,20.281,20.685,25.327,6.752,3.294,9.434,5.122,2.695,4.229
ManyMECs_800,2402,4.183,5.902,,,77.396,66.41,6.642,7.745,13.416,15.571,16.107,24.937,29.383,33.683,8.235,4.055,9.686,6.056,3.541,5.785
ManyMECs_900,2702,4.88,7.481,111.688,107.505,102.84,59.314,6.945,10.089,13.238,11.251,18.286,25.476,16.363,20.918,8.458,5.616,9.96,5.889,3.939,4.98
