Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumMECs,BiggestMEC,SmallestMEC,NumSCCs
RND_40000_1, 40000, 115434, 26483, 13060, 457, 10, 2, 0.5, 0, -, -, 457
RND_40000_10, 40000, 115696, 1, 12820, 27179, 10, 2, 0.5, 1, 24427, 24427, 1577
RND_40000_11, 40000, 116178, 26392, 13101, 507, 10, 2, 0.5, 0, -, -, 507
RND_40000_12, 40000, 115844, 26322, 13120, 558, 10, 2, 0.5, 0, -, -, 558
RND_40000_13, 40000, 115800, 26029, 13469, 502, 10, 2, 0.5, 0, -, -, 502
RND_40000_14, 40000, 115786, 26441, 12997, 562, 10, 2, 0.5, 0, -, -, 562
RND_40000_15, 40000, 115748, 1, 13138, 26861, 10, 2, 0.5, 1, 23952, 23952, 1646
RND_40000_16, 40000, 116100, 26825, 12625, 550, 10, 2, 0.5, 0, -, -, 550
RND_40000_17, 40000, 115871, 1, 12841, 27158, 10, 2, 0.5, 1, 24495, 24495, 1549
RND_40000_18, 40000, 115503, 1, 39999, 0, 10, 2, 0.5, 0, -, -, 0
RND_40000_19, , , , , , , , , , , , 
RND_40000_2, , , , , , , , , , , , 
RND_40000_20, , , , , , , , , , , , 
RND_40000_3, , , , , , , , , , , , 
RND_40000_4, , , , , , , , , , , , 
RND_40000_5, , , , , , , , , , , , 
RND_40000_6, , , , , , , , , , , , 
RND_40000_7, , , , , , , , , , , , 
RND_40000_8, , , , , , , , , , , , 
RND_40000_9, , , , , , , , , , , , 
