Model,#States,BVI,LP,OVI,T_LP
consensus,43136,14.109,7.892,10.633,6.141
csma_1,761962,,44.355,84.507,40.285
csma_2,761962,26.809,46.576,38.11,20.439
csma_3,761962,3.917,8.173,4.057,6.541
firewire,1078695,43.39,102.906,71.61,105.974
firewire_dl,375765,9.025,29.878,18.326,24.304
pacman,882686,367.247,13.711,273.336,10.181
philosophers,8662001936,0.902,,0.435,
pnueli-zuck,9999991946936304,111.137,,203.365,
rabin,27766,0.064,0.158,0.123,0.137
wlan,5007548,0.039,0.34,0.093,0.614
wlan_dl,10131465,47.497,
