Model,#States,LP,LP_T,VI_B,VI_O
consensus,43136,3.936,3.19,10.904,4.746
csma_1,761962,29.78,19.824,,32.777
csma_2,761962,22.518,11.883,17.456,13.418
csma_3,761962,5.296,3.396,1.743,1.489
firewire,1078695,44.681,41.792,31.07,23.763
firewire_dl,375765,14.304,13.218,5.61,4.198
pacman,882686,5.619,3.179,80.882,81.756
philosophers,,,,0.23,0.231
pnueli-zuck,,,,62.401,62.42
rabin,27766,0.054,0.047,0.039,0.032
wlan,5007548,0.218,0.224,0.023,0.026
wlan_dl,10131465,130.837,118.571,34.983,24.209
zeroconf_dl,411031,9.08,7.204,,30.212
