Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1, 10002, 103908, 1, 242, 9759, 82, 9, 1.0E-4, 103658, 10.388722, 28.213158, 2.7157485, 7056, 2946, 0.39025402, 1, 9722, 9722, 9722.0, 9722.0, 242, 9761, 1, 41.33057851239669, 3, 1, 9761, 9761.0, 7, 7, 7.0, 7.0, 0.51, 0.541, 0.56, 0.099
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10, 10002, 103703, 1, 258, 9743, 79, 9, 1.0E-4, 103438, 10.368226, 28.09308, 2.7095358, 6937, 3065, 0.38960522, 1, 9712, 9712, 9712.0, 9712.0, 260, 9743, 1, 38.46923076923077, 3, 1, 9743, 9743.0, 8, 8, 8.0, 8.0, 0.179, 0.25, 0.263, 0.194
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2, 10002, 103589, 1, 231, 9770, 85, 9, 1.0E-4, 103342, 10.356829, 28.114178, 2.7145545, 6964, 3038, 0.38890746, 1, 9732, 9732, 9732.0, 9732.0, 232, 9771, 1, 43.11206896551724, 3, 1, 9771, 9771.0, 4, 4, 4.0, 4.0, 0.465, 0.264, 0.289, 0.092
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3, 10002, 104036, 1, 218, 9783, 81, 9, 1.0E-4, 103812, 10.40152, 28.228054, 2.7138395, 6993, 3009, 0.39069977, 1, 9757, 9757, 9757.0, 9757.0, 216, 9787, 1, 46.30555555555556, 3, 1, 9787, 9787.0, 4, 4, 4.0, 4.0, 0.294, 0.27, 0.546, 0.109
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4, 10002, 103326, 1, 236, 9765, 86, 10, 1.0E-4, 103081, 10.330534, 27.977604, 2.7082438, 6897, 3105, 0.3899018, 1, 9725, 9725, 9725.0, 9725.0, 237, 9766, 1, 42.20253164556962, 3, 1, 9766, 9766.0, 8, 8, 8.0, 8.0, 0.313, 0.851, 0.83, 0.308
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5, 10002, 104002, 1, 230, 9771, 86, 10, 1.0E-4, 103768, 10.39812, 28.172466, 2.7093806, 6966, 3036, 0.38990563, 1, 9737, 9737, 9737.0, 9737.0, 230, 9773, 1, 43.48695652173913, 3, 1, 9773, 9773.0, 4, 4, 4.0, 4.0, 0.4, 0.815, 0.871, 0.281
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6, 10002, 103801, 1, 262, 9739, 81, 10, 1.0E-4, 103531, 10.378024, 28.174465, 2.7148197, 6986, 3016, 0.39015475, 1, 9696, 9696, 9696.0, 9696.0, 259, 9744, 1, 38.61776061776062, 3, 1, 9744, 9744.0, 3, 3, 3.0, 3.0, 0.193, 0.251, 0.215, 0.079
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7, 10002, 103710, 1, 254, 9747, 93, 9, 1.0E-4, 103454, 10.368926, 28.15627, 2.715447, 7012, 2990, 0.38966832, 1, 9724, 9724, 9724.0, 9724.0, 250, 9753, 1, 40.008, 3, 1, 9753, 9753.0, 4, 4, 4.0, 4.0, 0.17, 0.267, 0.237, 0.074
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8, 10002, 104072, 1, 209, 9792, 82, 9, 1.0E-4, 103854, 10.405119, 28.275045, 2.7174168, 7145, 2857, 0.39104408, 1, 9770, 9770, 9770.0, 9770.0, 212, 9791, 1, 47.179245283018865, 3, 1, 9791, 9791.0, 4, 4, 4.0, 4.0, 0.15, 0.22, 0.205, 0.078
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9, 10002, 103755, 1, 256, 9745, 89, 9, 1.0E-4, 103491, 10.3734255, 28.131674, 2.7118983, 6968, 3034, 0.39013693, 1, 9704, 9704, 9704.0, 9704.0, 254, 9749, 1, 39.37795275590551, 3, 1, 9749, 9749.0, 9, 9, 9.0, 9.0, 0.178, 0.237, 0.208, 0.06
