Model,#States,BVI,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,,,179
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,,,150
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,,,334
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,,,229
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,,,135
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,,,312
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,,2239,427
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,,,117
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,,1791,228
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,,3592,353
