Model,#States,BVI,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,,,11.588
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,,,9.392
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,,,24.609
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,,,15.002
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,,,8.067
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,,,18.451
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,,368.953,24.709
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,,,7.215
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,,340.744,12.144
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,,560.201,15.544
