Model,#States,BVI,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_1,10002,,,0.11527368074282099
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_10,10002,,,0.0786427119869617
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_2,10002,,,0.8999990082782622
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_3,10002,,,0.89999904700989
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,,,0.06888082263970688
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,,,0.8999990220334235
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,,0.8999999715690764,0.8999990287802275
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,,,0.899999048169542
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,,0.9000000000000086,0.8999990205025938
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,,0.036189124762460126,0.036188151087135766
