Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
simple, 3, 3, 1, 0, 2, 1, 2, 0.5, 1, 1.0, 1.3333334, 1.3333334, 2, 1, 0.0, 1, 1, 1, 1.0, 1.0, 3, 1, 1, 1.0, 2, 0, 0, 0.0, 1, 1, 1.0, 1.0, 0.0, 0.0, 0.004, 0.001
simple_10000000_1_SCC, 10000004, 29980011, 1, 0, 10000003, 3, 3, 0.0, 19980009, 2.998, 6.7108836, 2.2384536, 4999439, 5000565, 0.85702026, 2, 1, 1, 1.0, 1.0, 5, 10000000, 1, 2000000.8, 3, 1, 10000000, 1.0E7, 17, 17, 17.0, 17.0, 0.0, 0.0, 14.787, 11.499
simple_10000000_5_SCC, 10000004, 29979770, 1, 0, 10000003, 3, 3, 0.0, 19979772, 2.9979758, 6.7108836, 2.2384715, 4998409, 5001595, 0.6284813, 2, 1, 1, 1.0, 1.0, 9, 2000000, 1, 1111111.5555555555, 7, 5, 2000000, 2000000.0, 69, 69, 69.0, 69.0, 0.0, 0.0, 145.289, 6.817
simple_1000000_1_SCC, 1000004, 2997993, 1, 0, 1000003, 3, 3, 0.0, 1997991, 2.997981, 6.993946, 2.3328853, 499276, 500728, 0.8570192, 2, 1, 1, 1.0, 1.0, 5, 1000000, 1, 200000.8, 3, 1, 1000000, 1000000.0, 15, 15, 15.0, 15.0, 0.0, 0.0, 0.667, 0.6
simple_1000000_5_SCC, 1000004, 2997991, 1, 0, 1000003, 3, 3, 0.0, 1997993, 2.997979, 6.993948, 2.3328876, 499777, 500227, 0.62848055, 2, 1, 1, 1.0, 1.0, 9, 200000, 1, 111111.55555555556, 7, 5, 200000, 200000.0, 57, 57, 57.0, 57.0, 0.0, 0.0, 8.598, 0.502
simple_100000_1_SCC, 1000004, 2997993, 1, 0, 1000003, 3, 3, 0.0, 1997991, 2.997981, 6.993946, 2.3328853, 499276, 500728, 0.8570192, 2, 1, 1, 1.0, 1.0, 5, 1000000, 1, 200000.8, 3, 1, 1000000, 1000000.0, 15, 15, 15.0, 15.0, 0.0, 0.0, 0.822, 0.729
simple_100000_5_SCC, 1000004, 2997991, 1, 0, 1000003, 3, 3, 0.0, 1997993, 2.997979, 6.993948, 2.3328876, 499777, 500227, 0.62848055, 2, 1, 1, 1.0, 1.0, 9, 200000, 1, 111111.55555555556, 7, 5, 200000, 200000.0, 57, 57, 57.0, 57.0, 0.0, 0.0, 8.727, 0.519
simple_2000000_1_SCC, 2000004, 5996021, 1, 0, 2000003, 3, 3, 0.0, 3996019, 2.9980044, 6.994015, 2.33289, 999728, 1000276, 0.8570206, 2, 1, 1, 1.0, 1.0, 5, 2000000, 1, 400000.8, 3, 1, 2000000, 2000000.0, 15, 15, 15.0, 15.0, 0.0, 0.0, 1.141, 0.923
simple_2000000_5_SCC, 2000004, 5996012, 1, 0, 2000003, 3, 3, 0.0, 3996014, 2.998, 6.9940057, 2.3328905, 999592, 1000412, 0.62848294, 2, 1, 1, 1.0, 1.0, 9, 400000, 1, 222222.66666666666, 7, 5, 400000, 400000.0, 63, 63, 63.0, 63.0, 0.0, 0.0, 21.971, 1.18
simple_3000000_1_SCC, 3000004, 8993961, 1, 0, 3000003, 3, 3, 0.0, 5993959, 2.997983, 7.461134, 2.488718, 1500938, 1499066, 0.8570193, 2, 1, 1, 1.0, 1.0, 5, 3000000, 1, 600000.8, 3, 1, 3000000, 3000000.0, 16, 16, 16.0, 16.0, 0.0, 0.0, 2.487, 1.842
