Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
simple,3,1,1,1,1,3,1,,3,3,,,1,1,2,1,,3,,1,2,,3,1
simple_10000000_1_SCC,3,48,48,63,45,61,59,,65,65,,,63,59,64,59,,5,,65,63,,64,48
simple_10000000_5_SCC,3,,,,,,,,,,,,,939,,1094,,13,,,420,,423,
simple_1000000_1_SCC,3,42,42,55,39,53,51,,57,57,,,55,51,56,51,,5,,69,55,,56,42
simple_1000000_5_SCC,3,384,384,384,356,974,356,,1050,1050,,,384,956,,1223,,13,,,370,,456,369
simple_100000_1_SCC,3,36,36,47,33,53,43,,58,58,,,47,42,47,42,,5,,59,46,,47,36
simple_100000_5_SCC,3,272,272,272,247,658,247,,725,725,,,272,626,,673,,13,,,264,,271,245
simple_2000000_1_SCC,3,43,43,57,40,66,53,,71,71,,,57,52,57,52,,5,,58,56,,57,43
simple_2000000_5_SCC,3,358,358,354,334,1854,329,,1997,1997,,,354,826,,991,,13,,,333,,336,345
simple_3000000_1_SCC,3,45,45,59,42,57,55,,61,61,,,59,55,60,55,,5,,73,59,,60,45
simple_3000000_5_SCC,3,377,377,378,352,1446,353,,1552,1552,,,378,854,,1054,,13,,,363,,467,360
simple_4000000_1_SCC,3,43,43,45,40,59,42,,63,63,,,45,,47,53,,5,,60,46,,49,31
simple_4000000_5_SCC,3,313,313,314,293,881,283,,942,942,,,314,627,627,674,,13,,,340,,343,
simple_5000000_1_SCC,3,42,42,45,40,46,42,,49,49,,,45,,47,53,,5,,60,46,,47,31
simple_5000000_5_SCC,3,301,301,304,282,864,285,,924,924,,,304,610,,668,,13,,,327,,330,287
simple_500000_1_SCC,3,38,38,40,36,39,37,,42,42,,,40,46,41,46,,5,,54,40,,41,27
simple_500000_5_SCC,3,304,304,304,282,1199,282,,1297,1297,,,304,686,,758,,13,,,297,,300,281
simple_50000_1_SCC,3,33,33,43,30,41,39,,45,45,,,43,39,44,39,,5,,53,43,,44,33
simple_50000_5_SCC,3,226,226,229,205,602,208,,663,663,,,229,476,480,532,,13,,,243,,246,208
