Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
simple,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
simple_10000000_1_SCC,3,0.250501,0.250501,0.25050100200000003,0.250501,0.25050100200000003,0.25050100200000003,,0.25050100200000003,0.25050100200000003,,,0.25050100200000003,0.250501002004008,0.250501002004008,0.250501,,0.0,,0.25050100200000003,0.25050100200000003,,0.250501,0.250501
simple_10000000_5_SCC,3,,,,,,,,,,,,,0.12493809342433455,,0.12493803400498553,,0.0,,,,,0.12493777336094652,
simple_1000000_1_SCC,3,0.250501,0.250501,0.25050100200000003,0.250501,0.25050100200000003,0.25050100200000003,0.250501002004008,0.25050100200000003,0.25050100200000003,0.2505010020182013,,0.25050100200000003,0.250501002004008,0.250501002004008,0.250501,0.250501002004008,0.0,,0.250501002004,0.25050100200000003,,0.250501,0.250501
simple_1000000_5_SCC,3,0.231002662837073,0.231002662837073,0.231002662837073,0.231002662837073,0.23100287957872373,0.231002662837073,,0.23100280285758945,0.23100280285758945,0.23100300673026064,,0.231002662837073,0.23100300673235993,,0.23100289972249272,0.23100300673235993,0.0,,,0.23100234749895862,,0.2310029555762196,0.23100220649735667
simple_100000_1_SCC,3,0.251004,0.251004,0.251004016,0.251004,0.251004,0.251004016,0.25100401606425704,0.251004,0.251004,0.2510040201005027,0.25100401606425704,0.251004016,0.25100401606425704,0.25100401606425704,0.251004,0.25100401606425704,0.0,0.25100401606425704,0.251004016064,0.251004,,0.251004,0.251004
simple_100000_5_SCC,3,0.11631718988642994,0.11631718988642994,0.1163169610077548,0.11631719077324801,0.11631728375539457,0.1163169551620251,0.11631728409579609,0.11631728375539457,0.11631728375539457,0.11631788710225033,0.11631728409579609,0.1163169610077548,0.11631728409579609,,0.11631727071680414,0.11631728409579609,0.0,0.11631728409579609,,0.11631710588749979,,0.11631710420798304,0.11631663331683709
simple_2000000_1_SCC,3,0.250501,0.250501,0.25050100200000003,0.250501,0.250501,0.25050100200000003,0.250501002004008,0.250501,0.250501,,,0.25050100200000003,0.250501002004008,0.250501002004008,0.250501,,0.0,,0.25050100200000003,0.250501,,0.250501,0.250501
simple_2000000_5_SCC,3,0.1261491028794376,0.1261491028794376,0.12614889889831157,0.12614912037996454,0.1261496000776755,0.12614887851083814,0.12614960015675336,0.12614960006306752,0.12614960006306752,,,0.12614889889831157,0.12614960015675333,,0.12614953710913346,0.12614960015675333,0.0,,,0.12614785724960947,,0.12614775136435938,0.126148637456472
simple_3000000_1_SCC,3,0.25075225,0.25075225,0.25075225675,0.25075225,0.25075225675,0.25075225675,0.25075225677031093,0.25075225675,0.25075225675,,,0.25075225675,0.25075225677031093,0.25075225677031093,0.25075225,,0.0,,0.25075225677025,0.25075225675,,0.25075225,0.25075225
simple_3000000_5_SCC,3,0.12518787115781732,0.12518787115781732,0.12518787115781732,0.12518787115781732,0.12518820132117578,0.12518787115781732,,0.12518820132117578,0.12518820132117578,,0.0,0.12518787115781732,0.12518822030112747,,0.12518815851961054,,0.0,,,0.12518754089961254,,0.1251882082767767,0.12518723119769742
simple_4000000_1_SCC,3,0.250375,0.250375,0.2503755625,0.250375,0.2503755625,0.2503755625,,0.2503755625,0.2503755625,,,0.2503755625,,0.25037556334501754,0.2503755625,,0.0,,0.25037556334375,0.2503755625,,0.2503755625,0.250375
simple_4000000_5_SCC,3,0.05692856151387438,0.05692856151387438,0.05692831644036052,0.05692856151387438,0.056928804206531174,0.05692821462462627,,0.056928804206531174,0.056928804206531174,,,0.05692831644036052,0.0569288099955122,0.0569288099955122,0.056928786796843676,,0.0,,,0.0569287472777839,,0.0569287472777839,
simple_5000000_1_SCC,3,0.25025,0.25025,0.25025025,0.25025,0.25025025,0.25025025,,0.25025025,0.25025025,,,0.25025025,,0.2502502502502503,0.25025025,,0.0,,0.25025025025,0.25025025,,0.25025025,0.25025
simple_5000000_5_SCC,3,0.05384026718452169,0.05384026718452169,0.0538402672424798,0.05384026718452169,0.05384061710712373,0.0538402672424798,,0.05384061710709486,0.05384061710709486,,,0.0538402672424798,0.053840617175093086,,0.0538405956106893,,0.0,,,0.053840529335447605,,0.05384050285341057,0.05383970626214971
