Model,#States,BVI,G_OVI,LP_SI,OVI,TOP_BVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
simple,3,1,3,,3,1,,1,,1
simple_1000000_10_SCC ,,,,,,,,,,
simple_1000000_1_SCC,3,51,75,,148,59,,44,,90
simple_1000000_2_SCC,3,,,,,348,,46,,
simple_1000000_4_SCC,3,,,,,,,50,,
simple_1000000_5_SCC,3,,,,,,,52,,
simple_100000_10_SCC,3,409,2224,,2405,1450,,62,,384
simple_100000_1_SCC,3,42,65,,134,51,,44,,90
simple_100000_2_SCC,3,246,653,,704,279,,46,,232
simple_100000_4_SCC,3,238,682,,712,365,,50,,219
simple_100000_5_SCC,3,385,1361,,1971,956,,52,,361
