Model,#States,BVI,G_OVI,LP_SI,OVI,TOP_BVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
simple,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
simple_1000000_10_SCC ,,,,,,,,,,
simple_1000000_1_SCC,3,0.15415353359290762,0.15415446152819548,,0.1541544627716973,0.250501002004008,,0.0,,0.15415446277113745
simple_1000000_2_SCC,3,,,,,0.24975074875274475,,0.0,,
simple_1000000_4_SCC,3,,,,,,,0.0,,
simple_1000000_5_SCC,3,,,,,,,0.0,,
simple_100000_10_SCC,3,0.01292839194716237,0.012928690313451837,0.012928690326566513,0.012928688047992418,0.02100912178067058,0.02100912178067058,0.0,,0.012927692913528615
simple_100000_1_SCC,3,0.250501,0.1541544614925708,0.15415446277169728,0.1541544627716973,0.250501002004008,0.250501002004008,0.0,,0.15415446277152883
simple_100000_2_SCC,3,0.1535391925763699,0.15353953539327622,0.15353953539397208,0.15353949965490854,0.2495017450152046,0.15353953539397208,0.0,,0.15353870440693532
simple_100000_4_SCC,3,0.0381859221250151,0.03818620932676999,0.03818623982944173,0.03818622751997408,0.06205263972284281,0.03818623982944174,0.0,,0.038185276607740515
simple_100000_5_SCC,3,0.14215540206827249,0.14215567137829474,0.14215569645068304,0.14215569645068313,0.23100300673235993,0.14215569645068307,0.0,,0.14215470536095656
