Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,WP_P3
simple,3,0.009,0.009,0.054,0.01,0.007,0.01,0.007
simple_1000000_10_SCC ,,,,,,,,
simple_1000000_1_SCC,3,433.166,390.917,,555.905,,195.191,1660.62
simple_1000000_2_SCC,3,,,,,,176.289,
simple_1000000_4_SCC,3,,,,,,177.568,
simple_1000000_5_SCC,3,,,,,,180.125,
simple_100000_10_SCC,3,253.374,685.526,509.204,717.836,,15.766,351.835
simple_100000_1_SCC,3,38.27,28.207,313.974,48.909,305.004,12.562,92.468
simple_100000_2_SCC,3,152.935,211.874,,217.355,194.915,13.376,226.142
simple_100000_4_SCC,3,151.338,200.663,362.11,218.912,161.382,14.433,196.851
simple_100000_5_SCC,3,234.534,419.69,280.211,595.579,,14.834,349.235
