Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
simple, 3, 3, 1, 0, 2, 1, 2, 0.5, 1, 1.0, 1.3333334, 1.3333334, 2, 1, 0.0, 1, 1, 1, 1.0, 1.0, 3, 1, 1, 1.0, 2, 0, 0, 0.0, 1, 1, 1.0, 1.0, 0.0, 0.0, 0.009, 0.0
simple_1000000_10_SCC , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
simple_1000000_1_SCC, 10000007, 29980017, 1, 0, 10000006, 3, 3, 0.0, 19980011, 2.9979994, 6.7108817, 2.2384531, 4999441, 5000566, 0.85702026, 3, 3, 1, 1.6666666666666667, 1.0, 6, 10000000, 1, 1666667.8333333333, 4, 2, 3, 5000001.5, 19, 19, 19.0, 19.0, 0.0, 0.0, 92.458, 5.783
simple_1000000_2_SCC, 10000007, 29980258, 1, 0, 10000006, 3, 3, 0.0, 19980253, 2.9980237, 6.7108817, 2.2384353, 4998389, 5001618, 0.7141855, 3, 3, 1, 1.6666666666666667, 1.0, 7, 5000000, 1, 1428572.4285714286, 5, 3, 3, 3333334.3333333335, 32, 32, 32.0, 32.0, 0.0, 0.0, 100.593, 5.713
simple_1000000_4_SCC, 10000007, 29979822, 1, 0, 10000006, 3, 3, 0.0, 19979819, 2.99798, 6.7108817, 2.2384677, 4997312, 5002695, 0.6427638, 3, 3, 1, 1.6666666666666667, 1.0, 9, 2500000, 1, 1111111.888888889, 7, 5, 3, 2000000.6, 59, 59, 59.0, 59.0, 0.0, 0.0, 104.232, 5.698
simple_1000000_5_SCC, 10000007, 29979776, 1, 0, 10000006, 3, 3, 0.0, 19979774, 2.9979756, 6.7108817, 2.2384713, 4998411, 5001596, 0.6284814, 3, 3, 1, 1.6666666666666667, 1.0, 10, 2000000, 1, 1000000.7, 8, 6, 3, 1666667.1666666667, 71, 71, 71.0, 71.0, 0.0, 0.0, 96.102, 5.665
simple_100000_10_SCC, 1000007, 2997916, 1, 0, 1000006, 3, 3, 0.0, 1997919, 2.997895, 6.993704, 2.3328717, 500155, 499852, 0.5999118, 3, 3, 1, 1.6666666666666667, 1.0, 15, 100000, 1, 66667.13333333333, 13, 11, 3, 90909.36363636363, 114, 114, 114.0, 114.0, 0.0, 0.0, 8.938, 0.63
simple_100000_1_SCC, 1000007, 2997999, 1, 0, 1000006, 3, 3, 0.0, 1997993, 2.997978, 6.993935, 2.332884, 499278, 500729, 0.8570191, 3, 3, 1, 1.6666666666666667, 1.0, 6, 1000000, 1, 166667.83333333334, 4, 2, 3, 500001.5, 17, 17, 17.0, 17.0, 0.0, 0.0, 6.539, 0.607
simple_100000_2_SCC, 1000007, 2998045, 1, 0, 1000006, 3, 3, 0.0, 1998040, 2.998024, 6.994075, 2.332895, 499709, 500298, 0.7141895, 3, 3, 1, 1.6666666666666667, 1.0, 7, 500000, 1, 142858.14285714287, 5, 3, 3, 333334.3333333333, 28, 28, 28.0, 28.0, 0.0, 0.0, 7.037, 0.627
simple_100000_4_SCC, 1000007, 2998029, 1, 0, 1000006, 3, 3, 0.0, 1998026, 2.998008, 6.994031, 2.3328927, 499383, 500624, 0.64276505, 3, 3, 1, 1.6666666666666667, 1.0, 9, 250000, 1, 111111.88888888889, 7, 5, 3, 200000.6, 51, 51, 51.0, 51.0, 0.0, 0.0, 8.158, 0.677
simple_100000_5_SCC, 1000007, 2997997, 1, 0, 1000006, 3, 3, 0.0, 1997995, 2.997976, 6.993937, 2.3328862, 499779, 500228, 0.6284808, 3, 3, 1, 1.6666666666666667, 1.0, 10, 200000, 1, 100000.7, 8, 6, 3, 166667.16666666666, 59, 59, 59.0, 59.0, 0.0, 0.0, 7.915, 0.684
