Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
BigMec_1e1, 23, 44, 1, 1, 21, 2, 2, 0.4, 2, 1.9130435, 2.0, 1.0454545, 21, 2, 0.4347826, 1, 21, 21, 21.0, 21.0, 3, 21, 1, 7.666666666666667, 2, 1, 21, 21.0, 11, 11, 11.0, 11.0, 0.001, 0.002, 0.005, 0.001
BigMec_1e2, 203, 404, 1, 1, 201, 2, 2, 0.4, 2, 1.9901478, 2.0, 1.0049505, 201, 2, 0.49261084, 1, 201, 201, 201.0, 201.0, 3, 201, 1, 67.66666666666667, 2, 1, 201, 201.0, 101, 101, 101.0, 101.0, 0.034, 0.021, 0.009, 0.003
BigMec_1e3, 2003, 4004, 1, 1, 2001, 2, 2, 0.4, 2, 1.9990015, 2.0, 1.0004995, 2001, 2, 0.49925113, 1, 2001, 2001, 2001.0, 2001.0, 3, 2001, 1, 667.6666666666666, 2, 1, 2001, 2001.0, 1001, 1001, 1001.0, 1001.0, 0.326, 0.356, 0.025, 0.003
BigMec_1e4, 20003, 40004, 1, 1, 20001, 2, 2, 0.4, 2, 1.9999, 2.0, 1.00005, 20001, 2, 0.49992502, 1, 20001, 20001, 20001.0, 20001.0, 3, 20001, 1, 6667.666666666667, 2, 1, 20001, 20001.0, 10001, 10001, 10001.0, 10001.0, 33.372, 35.691, 0.082, 0.023
ManyMECs_1e1, 32, 62, 1, 1, 30, 2, 2, 0.4, 30, 1.9375, 2.875, 1.483871, 21, 11, 0.6086956, 10, 3, 3, 3.0, 3.0, 12, 3, 1, 2.6666666666666665, 11, 10, 3, 3.0, 20, 20, 20.0, 20.0, 0.002, 0.008, 0.009, 0.001
ManyMECs_1e2, 302, 602, 1, 1, 300, 2, 2, 0.4, 300, 1.9933774, 2.986755, 1.4983388, 201, 101, 0.6607539, 100, 3, 3, 3.0, 3.0, 102, 3, 1, 2.9607843137254903, 101, 100, 3, 3.0, 200, 200, 200.0, 200.0, 0.031, 0.039, 0.027, 0.002
ManyMECs_1e3, 3002, 6002, 1, 1, 3000, 2, 2, 0.4, 3000, 1.9993337, 2.9986675, 1.4998333, 2001, 1001, 0.6660742, 1000, 3, 3, 3.0, 3.0, 1002, 3, 1, 2.996007984031936, 1001, 1000, 3, 3.0, 2000, 2000, 2000.0, 2000.0, 0.895, 0.94, 0.24, 0.007
hm_10, 21, 21, 1, 1, 19, 1, 2, 0.5, 19, 1.0, 1.9047619, 1.9047619, 21, 0, 0.475, 0, , , , , 3, 19, 1, 7.0, 2, 1, 19, 19.0, 10, 10, 10.0, 10.0, 0.001, 0.004, 0.005, 0.001
hm_20, 41, 41, 1, 1, 39, 1, 2, 0.5, 39, 1.0, 1.9512196, 1.9512196, 41, 0, 0.4875, 0, , , , , 3, 39, 1, 13.666666666666666, 2, 1, 39, 39.0, 20, 20, 20.0, 20.0, 0.002, 0.014, 0.004, 0.001
hm_25, 51, 51, 1, 1, 49, 1, 2, 0.5, 49, 1.0, 1.9607843, 1.9607843, 51, 0, 0.49, 0, , , , , 3, 49, 1, 17.0, 2, 1, 49, 49.0, 25, 25, 25.0, 25.0, 0.003, 0.027, 0.005, 0.002
hm_5, 11, 11, 1, 1, 9, 1, 2, 0.5, 9, 1.0, 1.8181819, 1.8181819, 11, 0, 0.45, 0, , , , , 3, 9, 1, 3.6666666666666665, 2, 1, 9, 9.0, 5, 5, 5.0, 5.0, 0.0, 0.001, 0.003, 0.001
