Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
BigMec_1e1,23,11,100,101,11,13,2,,13,13,,,2,11,13,2,12,11,,13,,2,12,,13,15
BigMec_1e2,203,101,101,101,101,103,2,,103,103,,,2,101,103,2,102,101,,103,,2,102,,103,105
BigMec_1e3,2003,1001,1001,101,1001,1003,2,,1003,1003,,,2,1001,1003,2,1002,1001,,1003,,2,1002,,1003,1005
BigMec_1e4,20003,10001,10001,101,10001,10003,2,,10003,10003,,,2,10001,,,,10001,,10003,,2,10001,,10003,10005
ManyMECs_1e1,32,130,5600,1001,66,149,62,,225,225,,,65,298,59,,97,439,,59,,,129,,130,130
ManyMECs_1e2,302,702,25200,35501,352,1024,352,,1418,1418,,,352,2908,239,,187,,,239,,,691,,692,702
ManyMECs_1e3,3002,5590,179500,280401,2796,10414,2795,,13269,13269,,,2795,29008,2039,,1087,,,2039,,,5529,,5530,5590
hm_10,21,21088,21088,20030,10547,9694,10019,,19447,19447,,,20030,22147,19447,20030,9908,22147,,19447,,20030,9908,,19416,20136
hm_20,41,21729659,21729659,20639448,10864833,9948894,10319728,,19898077,19898077,,,20639448,22819875,19898077,20639448,10001,22819875,,19898074,,20639448,10001,,19898057,20748042
hm_25,51,,,,,,,,,,,,,,,,10001,,,,,,10001,,,
hm_5,11,591,591,561,298,309,283,,643,643,,,561,622,643,561,434,622,,626,,561,434,,607,564
