Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
G_OVI,BigMec_1e1,0,1,1,0,0,0
G_OVI,BigMec_1e2,0,1,1,0,0,0
G_OVI,BigMec_1e3,1,1,1,0,0,0
G_OVI,BigMec_1e4,164,1,1,0,0,0
G_OVI,ManyMECs_1e1,0,2,6,1,1,0
G_OVI,ManyMECs_1e2,2,3,103,2,2,0
G_OVI,ManyMECs_1e3,81,4,1406,3,3,0
G_OVI,hm_10,0,11,1,10,10,0
G_OVI,hm_20,30,21,1,20,20,0
G_OVI,hm_25,-,24,-,24,24,0
G_OVI,hm_5,0,6,1,5,5,0
OPT_OVI,BigMec_1e1,0,1,1,0,0,0
OPT_OVI,BigMec_1e2,0,1,1,0,0,0
OPT_OVI,BigMec_1e3,1,1,1,0,0,0
OPT_OVI,BigMec_1e4,141,1,1,0,0,0
OPT_OVI,ManyMECs_1e1,0,2,18,1,1,0
OPT_OVI,ManyMECs_1e2,1,3,149,2,2,0
OPT_OVI,ManyMECs_1e3,79,4,1477,3,3,0
OPT_OVI,hm_10,0,12,11,11,11,0
OPT_OVI,hm_20,66,22,21,21,21,0
OPT_OVI,hm_25,-,15,-,15,15,0
OPT_OVI,hm_5,0,7,6,6,6,0
OVI,BigMec_1e1,0,1,1,0,0,0
OVI,BigMec_1e2,0,1,1,0,0,0
OVI,BigMec_1e3,1,1,1,0,0,0
OVI,BigMec_1e4,164,1,1,0,0,0
OVI,ManyMECs_1e1,0,2,18,1,1,0
OVI,ManyMECs_1e2,1,3,149,2,2,0
OVI,ManyMECs_1e3,84,4,1477,3,3,0
OVI,hm_10,0,12,11,11,11,0
OVI,hm_20,42,22,21,21,21,0
OVI,hm_25,-,15,-,15,15,0
OVI,hm_5,0,7,6,6,6,0
TOP_OVI,BigMec_1e1,0,1,1,0,0,0
TOP_OVI,BigMec_1e2,0,1,1,0,0,0
TOP_OVI,BigMec_1e3,15,1,1,0,0,0
TOP_OVI,BigMec_1e4,-,1,1,0,0,0
TOP_OVI,ManyMECs_1e1,0,11,1,1,1,0
TOP_OVI,ManyMECs_1e2,0,101,1,1,1,0
TOP_OVI,ManyMECs_1e3,3,1001,1,1,1,0
TOP_OVI,hm_10,0,12,11,11,11,0
TOP_OVI,hm_20,43,22,21,21,21,0
TOP_OVI,hm_25,-,15,-,15,15,0
TOP_OVI,hm_5,0,7,6,6,6,0
T_OVI,BigMec_1e1,0,1,1,0,0,0
T_OVI,BigMec_1e2,0,1,1,0,0,0
T_OVI,BigMec_1e3,1,1,1,0,0,0
T_OVI,BigMec_1e4,149,1,1,0,0,0
T_OVI,ManyMECs_1e1,0,11,1,1,1,0
T_OVI,ManyMECs_1e2,0,101,1,1,1,0
T_OVI,ManyMECs_1e3,3,1001,1,1,1,0
T_OVI,hm_10,0,12,11,11,11,0
T_OVI,hm_20,43,22,21,21,20,1
T_OVI,hm_25,-,15,-,15,12,3
T_OVI,hm_5,0,7,6,6,5,1
WP_OVI,BigMec_1e1,0,1,1,0,0,0
WP_OVI,BigMec_1e2,0,1,1,0,0,0
WP_OVI,BigMec_1e3,0,1,1,0,0,0
WP_OVI,BigMec_1e4,128,1,1,0,0,0
WP_OVI,ManyMECs_1e1,0,1,1,0,0,0
WP_OVI,ManyMECs_1e2,0,1,1,0,0,0
WP_OVI,ManyMECs_1e3,4,1,1,0,0,0
WP_OVI,hm_10,0,12,6,11,11,0
WP_OVI,hm_20,47,22,11,21,21,0
WP_OVI,hm_25,-,16,-,16,16,0
WP_OVI,hm_5,0,7,3,6,6,0
