Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
simple, 3, 3, 1, 0, 2, 1, 2, 0.5, 1, 1.0, 1.3333334, 1.3333334, 2, 1, 0.0, 1, 1, 1, 1.0, 1.0, 3, 1, 1, 1.0, 2, 0, 0, 0.0, 1, 1, 1.0, 1.0, 0.0, 0.0, 0.004, 0.001
simple_100000_1_SCC, 1000004, 2997993, 1, 0, 1000003, 3, 3, 0.0, 1997991, 2.997981, 6.993946, 2.3328853, 499276, 500728, 0.8570192, 2, 1, 1, 1.0, 1.0, 5, 1000000, 1, 200000.8, 3, 1, 1000000, 1000000.0, 15, 15, 15.0, 15.0, 0.0, 0.0, 0.7, 0.635
simple_100000_1_SCCsuperConnect, 5000004, 14990086, 1, 0, 5000003, 3, 3, 0.0, 9990084, 2.9980147, 8.206913, 2.737449, 2499975, 2500029, 0.8570212, 2, 1, 1, 1.0, 1.0, 5, 5000000, 1, 1000000.8, 3, 1, 5000000, 5000000.0, 16, 16, 16.0, 16.0, 0.0, 0.0, 19.094, 3.971
simple_100000_2_SCC, 500004, 1498992, 1, 0, 500003, 3, 3, 0.0, 998990, 2.99796, 6.993886, 2.3328817, 249463, 250541, 0.857018, 2, 1, 1, 1.0, 1.0, 5, 500000, 1, 100000.8, 3, 1, 500000, 500000.0, 14, 14, 14.0, 14.0, 0.0, 0.0, 0.455, 0.335
simple_10000_1_SCC, 100004, 299812, 1, 0, 100003, 3, 3, 0.0, 199810, 2.9980001, 6.9940305, 2.3328986, 49941, 50063, 0.8570209, 2, 1, 1, 1.0, 1.0, 5, 100000, 1, 20000.8, 3, 1, 100000, 100000.0, 13, 13, 13.0, 13.0, 0.0, 0.0, 0.107, 0.159
simple_10000_1_SCCsuperConnect, 100004, 1000004, 1, 0, 100003, 10, 102, 0.0, 1000001, 9.99964, 1031.9999, 103.203705, 50005, 49999, 0.50980633, 2, 1, 1, 1.0, 1.0, 5, 100000, 1, 20000.8, 3, 1, 100000, 100000.0, 2147483637, 0, NaN, 0.0, 0.0, 0.0, 0.24, 10.722
simple_10000_2_SCC, 100004, 299812, 1, 0, 100003, 3, 3, 0.0, 199811, 2.9980001, 6.99405, 2.3329053, 49878, 50126, 0.71418995, 2, 1, 1, 1.0, 1.0, 6, 50000, 1, 16667.333333333332, 4, 2, 50000, 50000.0, 22, 22, 22.0, 22.0, 0.0, 0.0, 0.286, 0.103
simple_20000_1_SCCsuperConnect, 200004, 2000004, 1, 0, 200003, 10, 102, 0.0, 2000001, 9.99982, 1008.23645, 100.82546, 100108, 99896, 0.50977725, 2, 1, 1, 1.0, 1.0, 5, 200000, 1, 40000.8, 3, 1, 200000, 200000.0, 2147483637, 0, NaN, 0.0, 0.0, 0.0, 0.483, 26.555
simple_500000_1_SCC, 5000004, 14990086, 1, 0, 5000003, 3, 3, 0.0, 9990084, 2.9980147, 8.206913, 2.737449, 2499975, 2500029, 0.8570212, 2, 1, 1, 1.0, 1.0, 5, 5000000, 1, 1000000.8, 3, 1, 5000000, 5000000.0, 16, 16, 16.0, 16.0, 0.0, 0.0, 21.653, 3.496
simple_500000_1_SCCsuperConnect, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
simple_500000_2_SCC, 5000004, 14990006, 1, 0, 5000003, 3, 3, 0.0, 9990005, 2.9979987, 7.5401835, 2.5150723, 2499457, 2500547, 0.71418375, 2, 1, 1, 1.0, 1.0, 6, 2500000, 1, 833334.0, 4, 2, 2500000, 2500000.0, 29, 29, 29.0, 29.0, 0.0, 0.0, 36.647, 2.933
simple_50000_1_SCC, 500004, 1498992, 1, 0, 500003, 3, 3, 0.0, 998990, 2.99796, 6.993886, 2.3328817, 249463, 250541, 0.857018, 2, 1, 1, 1.0, 1.0, 5, 500000, 1, 100000.8, 3, 1, 500000, 500000.0, 14, 14, 14.0, 14.0, 0.0, 0.0, 0.457, 0.331
simple_50000_1_SCCsuperConnect, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
simple_50000_2_SCC, 500004, 1499017, 1, 0, 500003, 3, 3, 0.0, 999016, 2.99801, 6.99404, 2.332894, 249503, 250501, 0.71418065, 2, 1, 1, 1.0, 1.0, 6, 250000, 1, 83334.0, 4, 2, 250000, 250000.0, 25, 25, 25.0, 25.0, 0.0, 0.0, 3.827, 0.399
