Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase
OVI,simple,0,1,1
OVI,simple_100000_1_SCC,28,1,2
OVI,simple_100000_1_SCCsuperConnect,161,1,3
OVI,simple_100000_2_SCC,14,1,2
OVI,simple_10000_1_SCC,2,1,12
OVI,simple_10000_1_SCCsuperConnect,61,1,1
OVI,simple_10000_2_SCC,7,1,33
OVI,simple_20000_1_SCCsuperConnect,270,1,1
OVI,simple_500000_1_SCC,148,1,3
OVI,simple_500000_1_SCCsuperConnect,-,0,-
OVI,simple_500000_2_SCC,1141,2,17
OVI,simple_50000_1_SCC,15,1,2
OVI,simple_50000_1_SCCsuperConnect,-,0,-
OVI,simple_50000_2_SCC,26,1,25
