Model,#States,OVI,WP_P3
simple,3,0.5,0.5
simple_100000_1_SCC,3,0.25050100200000003,0.250501
simple_100000_1_SCCsuperConnect,3,0.25025025,0.25025
simple_100000_2_SCC,3,0.25025025,0.25025
simple_10000_1_SCC,3,0.251004,0.251004
simple_10000_1_SCCsuperConnect,3,0.0,
simple_10000_2_SCC,3,0.18703464758564675,0.18703380090890825
simple_20000_1_SCCsuperConnect,3,0.0,
simple_500000_1_SCC,3,0.25025025,0.25025
simple_500000_1_SCCsuperConnect,3,,
simple_500000_2_SCC,3,0.2501250624176707,0.25012410790232026
simple_50000_1_SCC,3,0.25025025,0.25025
simple_50000_1_SCCsuperConnect,3,,
simple_50000_2_SCC,3,0.12581740624999999,0.12581740624999999
