Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30, 10000, 68190, 1, 0, 9999, 88, 9, 1.0E-4, 50435, 6.819, 15.4804, 2.2701862, 5065, 4935, 0.1562492, 1058, 6936, 1, 7.554820415879017, 1.0, 1143, 8858, 1, 8.748906386701663, 2, 1, 8858, 8858.0, 4, 4, 4.0, 4.0, 0.0, 0.0, 0.583, 0.042
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_1000000_1_SCC, 1010001, 3066180, 1, 0, 1010000, 88, 9, 0.0, 2048425, 3.0358188, 7.077987, 2.331492, 504339, 505662, 0.8418448, 1059, 6936, 1, 7.548630783758263, 1.0, 1145, 1000000, 1, 882.0969432314411, 3, 2, 8858, 504429.0, 18, 18, 18.0, 18.0, 0.0, 0.0, 16.734, 0.793
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_1_SCC, 110001, 367999, 1, 0, 110000, 88, 9, 0.0, 250244, 3.345415, 7.7656655, 2.3212862, 55004, 54997, 0.7300309, 1059, 6936, 1, 7.548630783758263, 1.0, 1145, 100000, 1, 96.0707423580786, 3, 2, 8858, 54429.0, 16, 16, 16.0, 16.0, 0.0, 0.0, 1.725, 0.215
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_2_SCC, 110001, 367999, 1, 0, 110000, 88, 9, 0.0, 250245, 3.345415, 7.765684, 2.3212917, 54941, 55060, 0.6130833, 1059, 6936, 1, 7.548630783758263, 1.0, 1146, 50000, 1, 95.9869109947644, 4, 3, 8858, 36286.0, 25, 25, 25.0, 25.0, 0.0, 0.0, 1.765, 0.182
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74, 10000, 68418, 1, 0, 9999, 86, 9, 1.0E-4, 50476, 6.8418, 15.5287, 2.2696805, 5113, 4887, 0.15736668, 1023, 7270, 1, 8.105571847507331, 1.0, 1126, 8875, 1, 8.880994671403197, 2, 1, 8875, 8875.0, 3, 3, 3.0, 3.0, 0.0, 0.0, 0.54, 0.055
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_1000000_1_SCC, 1010001, 3066408, 1, 0, 1010000, 86, 9, 0.0, 2048466, 3.0360446, 7.0784655, 2.3314762, 504387, 505614, 0.84182274, 1024, 7270, 1, 8.0986328125, 1.0, 1128, 1000000, 1, 895.3909574468086, 3, 2, 8875, 504437.5, 17, 17, 17.0, 17.0, 0.0, 0.0, 16.866, 0.761
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_1_SCC, 110001, 368227, 1, 0, 110000, 86, 9, 0.0, 250285, 3.3474877, 7.7700567, 2.3211606, 55052, 54949, 0.72990966, 1024, 7270, 1, 8.0986328125, 1.0, 1128, 100000, 1, 97.5186170212766, 3, 2, 8875, 54437.5, 15, 15, 15.0, 15.0, 0.0, 0.0, 1.608, 0.18
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_2_SCC, 110001, 368227, 1, 0, 110000, 86, 9, 0.0, 250286, 3.3474877, 7.770075, 2.321166, 54989, 55012, 0.61302817, 1024, 7270, 1, 8.0986328125, 1.0, 1129, 50000, 1, 97.43224092116918, 4, 3, 8875, 36291.666666666664, 24, 24, 24.0, 24.0, 0.0, 0.0, 1.838, 0.192
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89, 10000, 68379, 1, 0, 9999, 82, 10, 1.0E-4, 50529, 6.8379, 15.5248, 2.2704046, 5041, 4959, 0.15665258, 999, 7521, 1, 8.527527527527528, 1.0, 1099, 8902, 1, 9.099181073703367, 2, 1, 8902, 8902.0, 3, 3, 3.0, 3.0, 0.0, 0.0, 0.445, 0.059
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_1000000_1_SCC, 1010001, 3066369, 1, 0, 1010000, 82, 10, 0.0, 2048519, 3.036006, 7.078427, 2.3314931, 504315, 505686, 0.84181094, 1000, 7521, 1, 8.52, 1.0, 1101, 1000000, 1, 917.3487738419618, 3, 2, 8902, 504451.0, 17, 17, 17.0, 17.0, 0.0, 0.0, 19.845, 0.795
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_1_SCC, 110001, 368188, 1, 0, 110000, 82, 10, 0.0, 250338, 3.3471332, 7.769702, 2.3213005, 54980, 55021, 0.72980607, 1000, 7521, 1, 8.52, 1.0, 1101, 100000, 1, 99.91008174386921, 3, 2, 8902, 54451.0, 15, 15, 15.0, 15.0, 0.0, 0.0, 1.541, 0.142
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_2_SCC, 110001, 368188, 1, 0, 110000, 82, 10, 0.0, 250339, 3.3471332, 7.76972, 2.321306, 54917, 55084, 0.6129193, 1000, 7521, 1, 8.52, 1.0, 1102, 50000, 1, 99.81941923774954, 4, 3, 8902, 36300.666666666664, 24, 24, 24.0, 24.0, 0.0, 0.0, 1.621, 0.154
simple, 3, 3, 1, 0, 2, 1, 2, 0.5, 1, 1.0, 1.3333334, 1.3333334, 2, 1, 0.0, 1, 1, 1, 1.0, 1.0, 3, 1, 1, 1.0, 2, 0, 0, 0.0, 1, 1, 1.0, 1.0, 0.0, 0.0, 0.006, 0.001
simple_1000000_1_SCC, 1000004, 2997993, 1, 0, 1000003, 3, 3, 0.0, 1997991, 2.997981, 6.993946, 2.3328853, 499276, 500728, 0.8570192, 2, 1, 1, 1.0, 1.0, 5, 1000000, 1, 200000.8, 3, 1, 1000000, 1000000.0, 15, 15, 15.0, 15.0, 0.0, 0.0, 0.672, 0.618
simple_10000_1_SCC, 100004, 299812, 1, 0, 100003, 3, 3, 0.0, 199810, 2.9980001, 6.9940305, 2.3328986, 49941, 50063, 0.8570209, 2, 1, 1, 1.0, 1.0, 5, 100000, 1, 20000.8, 3, 1, 100000, 100000.0, 13, 13, 13.0, 13.0, 0.0, 0.0, 0.111, 0.155
simple_10000_2_SCC, 100004, 299812, 1, 0, 100003, 3, 3, 0.0, 199811, 2.9980001, 6.99405, 2.3329053, 49878, 50126, 0.71418995, 2, 1, 1, 1.0, 1.0, 6, 50000, 1, 16667.333333333332, 4, 2, 50000, 50000.0, 22, 22, 22.0, 22.0, 0.0, 0.0, 0.278, 0.106
